"pronoun"	"verb"	"context"	"filename"
"6254"	"I"	"too"	" Unlike the more mundane transactions of paid advertising, the philanthropic approach provided an aura of simple goodness. (Although before those cards and letters start coming, I too, readers, wish this paper and others that editorialize powerfully against smoking did not run tobacco ads.) </P> "	"nyt_eng_199410.gz"
"6385"	"I"	"too"	" Unlike the more mundane transactions of paid advertising, the philanthropic approach provided an aura of simple goodness. (Although before those cards and letters start coming, I too, readers, wish this paper and others that editorialize powerfully against smoking did not run tobacco ads.) </P> "	"nyt_eng_199410.gz"
"7280"	"we"	"too"	" Instead of making this another scream against those who have put baseball in a coma nationally, as well as attempting to pull the plug locally, we too, will throw a change-up: </P> "	"nyt_eng_199410.gz"
"15352"	"he"	"too"	" Perry was first issued a pilot's license on Nov. 27, 1989. He received a commercial pilot certification with a helicopter rating on June 5, 1990. Like Mattaliano, he too, missed his yearly physical in Janaury, and could no longer fly paying passengers. His only restriction was that he had to wear eyeglasses when flying. </P> </TEXT> </DOC> <DOC id=NYT_ENG_19950222.0384 type=story > <HEADLINE> TROOPERS STRUGGLE WITH SERIES OF TRAGEDIES </HEADLINE> <DATELINE> CAMBRIDGE, Mass.  (BC-COPTER-POLICE-TRAGEDY-BOS) </DATELINE> <TEXT> "	"nyt_eng_199502.gz"
"46871"	"he"	"too"	" If Rojas' remarks are any indication, he too, was surpsied by the one-sided scoring. </P> "	"nyt_eng_199601.gz"
"62188"	"he"	"too"	" Rep. Bob Burns, R-Glendale, who with his wife owns two day-care centers, has declared that the reason he ran for office in the first place was to advocate for his business. When challenged on the point in the last legislative session, he too, cited his private interest as a contribution to the ``citizen legislature.'' </P> "	"nyt_eng_199606.gz"
"62189"	"he"	"too"	" Rep. Bob Burns, R-Glendale, who with his wife owns two day-care centers, has declared that the reason he ran for office in the first place was to advocate for his business. When challenged on the point in the last legislative session, he too, cited his private interest as a contribution to the ``citizen legislature.'' </P> "	"nyt_eng_199606.gz"
"62191"	"he"	"too"	" Rep. Bob Burns, R-Glendale, who with his wife owns two day-care centers, has declared that the reason he ran for office in the first place was to advocate for his business. When challenged on the point in the last legislative session, he too, cited his private interest as a contribution to the ``citizen legislature.'' </P> "	"nyt_eng_199606.gz"
"91791"	"you"	"too"	" If you hesitate to bake because it seems daunting, just give this recipe a try. I predict, you too, will become a Lazy Daisy addict. </P> "	"nyt_eng_200105.gz"
"95708"	"they"	"too"	" Happy? What fool would believe that? Like Philip Morris, Hooley dared not suggest there would be a benefit to its bottom line if Dunn had just curled up in a corner and died. But at the very same press conference, Hooley said that if another person like Dunn came to them seeking coverage, they too, would be rejected. </P> "	"nyt_eng_200107.gz"
"101595"	"he"	"too"	" Yarkas adopted as a close lieutenant Jasem Mahboule, an Islamic warrior who fought in Bosnia before settling in Spain and later trained twice in Afghanistan and traveled to Yemen on al-Qaida business, according to the judge's report. A bearded man who always wore steel-rimmed shaded glasses, he too, married a Spanish woman, who converted at his request to Islam, his neighbors said. The couple moved in 1999 into an attractive housing project in southern Madrid, paying minimal rent in a program subsidized by the city government, the neighbors said. </P> "	"nyt_eng_200111.gz"
"101607"	"he"	"too"	" Yarkas adopted as a close lieutenant Jasem Mahboule, an Islamic warrior who fought in Bosnia before settling in Spain and later trained twice in Afghanistan and traveled to Yemen on al-Qaida business, according to the judge's report. A bearded man who always wore steel-rimmed shaded glasses, he too, married a Spanish woman, who converted at his request to Islam, his neighbors said. The couple moved in 1999 into an attractive housing project in southern Madrid, paying minimal rent in a program subsidized by the city government, the neighbors said. </P> "	"nyt_eng_200111.gz"
"109767"	"they"	"too"	" However, if the events of recent weeks are any indication, at least some of those barriers are beginning to fall as the church has come under increased scrutiny nationwide for its handling of pedophilia and sexual abuse accusations against priests. And like Serrano, young men from across the country are making public their own cases of abuse at the hands of priests. Often, they too, are breaking confidentiality agreements knowing that in the current climate they stand little chance of being subject to legal action for doing so. </P> "	"nyt_eng_200203.gz"
"114821"	"it"	"too"	" The second set of victims is less clear, but one possibility is that, it too, would be a case of letting the voters decide between a Democratic and a Republican incumbent. </P> "	"nyt_eng_200205.gz"
"116704"	"he"	"too"	" ``When Clinton succeeded Bush senior, the first months were practically taken over with reversals of Bush domestic initiatives, but, he too, was constrained when it came to foreign policy,'' said Sabato. </P> "	"nyt_eng_200205.gz"
"116705"	"he"	"too"	" ``When Clinton succeeded Bush senior, the first months were practically taken over with reversals of Bush domestic initiatives, but, he too, was constrained when it came to foreign policy,'' said Sabato. </P> "	"nyt_eng_200205.gz"
"116773"	"he"	"too"	" ``When Clinton succeeded Bush senior, the first months were practically taken over with reversals of Bush domestic initiatives, but, he too, was constrained when it came to foreign policy,'' said Sabato. </P> "	"nyt_eng_200205.gz"
"116774"	"he"	"too"	" ``When Clinton succeeded Bush senior, the first months were practically taken over with reversals of Bush domestic initiatives, but, he too, was constrained when it came to foreign policy,'' said Sabato. </P> "	"nyt_eng_200205.gz"
"116775"	"he"	"too"	" ``When Clinton succeeded Bush senior, the first months were practically taken over with reversals of Bush domestic initiatives, but, he too, was constrained when it came to foreign policy,'' said Sabato. </P> "	"nyt_eng_200205.gz"
"122265"	"I"	"too"	" (BEGIN ITALICS)Two years ago, my family and I took a vacation to our Nation's capital, and New York City. ... We took the train into the city, and that was the very first time I ever saw the Twin Towers. They were incredible, and intimidating. I was so excited, because that was all I really was concerned about visiting in New York. I just wanted to see the Towers. I still have my ticket from `The Top of The World.' ... Although I didn't know anyone who lost their life, I too, did loose something incredibly important to me. Those building represented alot of strength and freedom.'' _ Katie Brown, Salt Lake City, Utah (END ITALICS) </P> "	"nyt_eng_200208.gz"
"122266"	"I"	"too"	" (BEGIN ITALICS)Two years ago, my family and I took a vacation to our Nation's capital, and New York City. ... We took the train into the city, and that was the very first time I ever saw the Twin Towers. They were incredible, and intimidating. I was so excited, because that was all I really was concerned about visiting in New York. I just wanted to see the Towers. I still have my ticket from `The Top of The World.' ... Although I didn't know anyone who lost their life, I too, did loose something incredibly important to me. Those building represented alot of strength and freedom.'' _ Katie Brown, Salt Lake City, Utah (END ITALICS) </P> "	"nyt_eng_200208.gz"
