"pronoun"	"verb"	"context"	"filename"
"49"	"I"	"tried"	" ``I tried; damn, I tried,'' Dingell said in an interview in his office afterward. ``It was simply not possible to do.'' </P> "	"nyt_eng_199407.gz"
"82"	"I"	"tried"	" ``I tried; damn, I tried,'' Dingell said in an interview in his office afterward. ``It was simply not possible to do.'' </P> "	"nyt_eng_199407.gz"
"176"	"I"	"tried"	" ``I tried; damn, I tried,'' Dingell said in an interview in his office afterward. ``It was simply not possible to do.'' </P> "	"nyt_eng_199407.gz"
"18608"	"I"	"tried"	" ``I don't think anybody is under the illusion that they have the power. I think they want to assert power, and make their voices heard. So when a campaign fails, you don't just say, `Oh well, I tried, I'm never going to do that again,''' she said. ``People write one letter, it doesn't get a result, and they become passive again. You can't do that. That's how we end up with the television that we do.'' </P> </TEXT> </DOC> <DOC id=NYT_ENG_19950404.0285 type=story > <HEADLINE> HUMAN SERVICES WORKERS LEFT OUT OF PAY RAISE PICTURE </HEADLINE> <DATELINE> BOSTON  (BC-PAY-RAISES-BOS) </DATELINE> <TEXT> "	"nyt_eng_199504.gz"
"18615"	"I"	"tried"	" ``I don't think anybody is under the illusion that they have the power. I think they want to assert power, and make their voices heard. So when a campaign fails, you don't just say, `Oh well, I tried, I'm never going to do that again,''' she said. ``People write one letter, it doesn't get a result, and they become passive again. You can't do that. That's how we end up with the television that we do.'' </P> </TEXT> </DOC> <DOC id=NYT_ENG_19950404.0299 type=story > <DATELINE>  (BC-NATION'S-TABLE-NYT) </DATELINE> <TEXT> "	"nyt_eng_199504.gz"
"27919"	"we"	"tried"	" ``The people who would choose to watch the competition in the first place are probably not offended by the swimsuit competition. If they're asking that audience, I doubt it will be voted out,'' said Deborah Watkins, president of the Tarrant County chapter of the National Organization for Women. ``That's sort of a cop-out way to say, `Well, we tried, but the public wanted it.''' </P> "	"nyt_eng_199507.gz"
"33193"	"they"	"tried"	" Chief Charles G. Reuther said that the two men bound and gagged the 20-year-old woman, threw her in the trunk of her white 1994 Honda Accord and took her to a vacant house at 78-08 86th Avenue in Woodhaven, where they tied her to a chair and left her for three days. Then, police said, they tried, without success, to contact her father, Thomas, to demand money for the release of his daughter. </P> "	"nyt_eng_199509.gz"
"33205"	"they"	"tried"	" Chief Charles Reuther said that the two men bound and gagged the 20-year-old woman, threw her in the trunk of her white 1994 Honda Accord and took her to a vacant house at 78-08 86th Ave. in Woodhaven, where they tied her to a chair and left her for three days. Then, police said, they tried, without success, to contact her father, Thomas, to demand money for the release of his daughter. </P> "	"nyt_eng_199509.gz"
"40135"	"we"	"tried"	" Boortz, reflecting the sentiments of his own audience, sounded an even more alarming prospect. ``If this balanced budget fails,'' he said, ``I think we'll see a shift back. Republicans will say, `Oh, we tried,' but voters will return to apathy.'' </P> </TEXT> </DOC> <DOC id=NYT_ENG_19951117.0567 type=story > <HEADLINE>     BC-WARSH-COLUMN-BOS </HEADLINE> <DATELINE>  () </DATELINE> <TEXT> "	"nyt_eng_199511.gz"
"40468"	"they"	"tried"	" ``Every experiment in rock and roll, they tried,'' Shellans said. ``Feedback, fuzz tone, early synthesizers, backwards tape loops; the studio was where they made that impact.'' </P> "	"nyt_eng_199511.gz"
