"pronoun"	"verb"	"context"	"filename"
"11602"	"I"	"trust"	" Switzer, I trust, is smarter than that. He knows what kind of job he has done. He is hardly the whistling, blissfully ignorant Valley Ranch intruder that he sometimes makes out to be. The guy can coach; check his record. </P> "	"nyt_eng_199501.gz"
"11603"	"I"	"trust"	" Again, Switzer, I trust, is wiser than that. If he loses sometime over the next two weeks, his fingerprints will be all over the Cowboys' limp body. </P> "	"nyt_eng_199501.gz"
"26786"	"I"	"trust"	" You, I trust, will invest your time more carefully than they did. </P> "	"nyt_eng_199506.gz"
"35879"	"I"	"trust"	" Today's liturgy is full of references to the Holy Spirit. Even as we pray for the Spirit to come among us, He is already here. He is here in so many of you. He is here above all in the action of the Mass, the most sacred rite of our faith. You are here, I trust, not out of simple curiosity to see the pope, but because of the Mass, because the Holy Spirit is leading us to Christ. For me it is a great joy to look out at so many wonderful people and to greet Cardinal O'Connor and all the cardinals and the bishops from the New York Metropolitan Province and elsewhere, as well as all the priests, religious and laity of the archdiocese, the leaders of the various religious denominations and the civil authorities of the state and city of New York. </P> "	"nyt_eng_199510.gz"
"43700"	"I"	"trust"	" Iowa City innovator Kris Westphal is, I trust, cleaning up with her Duds &AMP; Suds laundromats, equipped with bars, big-screen TV and study tables for students. Just don't get the beer and bleach mixed up. Husky Oklahoma City auto dealer William Myles, onetime Sooner linebacker, innovates with the language, saying, ``I am not a used-car salesman. Mine is a pre-owned auto lot.'' Our pre-lately Boston Garden remains _ even rebuilt _ ``the Garden'' in most sound hearts, minds and mouths, as does the fourth or fifth version of Manhattan's Madison Square Garden. Why do the hard-hearts shabbily sell our tradition and try to rename it with an F-word? </P> "	"nyt_eng_199512.gz"
"46059"	"I"	"trust"	" This year could be even better. I'll head to different parts of Arizona, to see if this really is a statewide celebration. By hook or by crook, I'll get my hands on a game ball. I'll attend parties that, I trust, will be a bit tonier than the conference-championship bash I held at my own house, the fanciest part of which was a bathtub filled with ice and beer, as well as potato chips and pretzels. </P> "	"nyt_eng_199601.gz"
"71607"	"I"	"trust"	" ``Delays and long lunches which lead to more delays, at enormous cost, are over,'' he said. ``So too, I trust, the torture of long, unfocused speeches.'' </P> "	"nyt_eng_199609.gz"
"82718"	"I"	"trust"	" This byline will, as of Monday, be gone from Metro Matters. The column moves into other hands as I try out my abilities as an editor _ a different skill but one, I trust, that will allow me to draw on the same journalistic resources of fairness and curiosity (plus an occasional fit of outrage) that have always guided me. </P> "	"nyt_eng_199701.gz"
"121438"	"we"	"trust"	" The film's title can be taken to refer not only to those curious designs in the corn but also to nearly everything else that is heard and seen. The smallest details and scraps of dialogue shimmer with a mysterious significance that will be revealed, we trust, in another of those rug-pulling surprise endings that are the director's trademark. Why is Graham's daughter, Bo (Abigail Breslin), phobic about drinking water? Who is the nervous-looking man the family glimpses one afternoon outside the local pizza parlor? </P> "	"nyt_eng_200208.gz"
"123670"	"I"	"trust"	" This country, I trust, is still a democracy in which individuals _ including those elected to represent the public _ have the right to privacy. </P> "	"nyt_eng_200208.gz"
"145156"	"we"	"trust"	" Borgwardt says he has no concerns about the safety of the vaccine from Canada. In Canada, we trust, he said. </P> "	"nyt_eng_200411.gz"
