"pronoun"	"verb"	"context"	"filename"
"2804"	"you"	"understand"	" Well, of course the party cannot let him get away with that. There is no rough stuff now, you understand, but signals to cut that public support out or back, way back. </P> "	"nyt_eng_199408.gz"
"4052"	"you"	"understand"	" In pro football, you understand, it is a sign of bad character to lose. Losing indicates you did not want to pay the price. </P> "	"nyt_eng_199409.gz"
"6354"	"you"	"understand"	" The best way to remember Fred Lebow is smack in the middle of his own race. I could tell you about the fraternal warmth I always felt whenever Fred Lebow would sidle up to me at somebody else's party, probably wearing a jogging suit and running shoes, witty and perceptive in his lush Transylvanian accent, even when he wasn't pushing his own event or explaining away some problem, which was always, you understand, extremely minor. </P> "	"nyt_eng_199410.gz"
"8945"	"I"	"understand"	" ``They're studying this now, I understand,'' Nunn, who is visiting several Asian countries, said in an interview. ``The goal would be no heavy weapons, no long-range artillery, no heavy tanks, no, of course, aircraft. It's a much better approach than we have now.'' </P> "	"nyt_eng_199411.gz"
"8963"	"you"	"understand"	" ``My role in it was very minimal, you understand, because I mean it is Lady Cottington's diary,'' Jones explained, his voice growing plummy with bemusement. ``The book was discovered in her attic, you see, after Lady Cottington died.'' </P> "	"nyt_eng_199411.gz"
"10028"	"you"	"understand"	" It's not, you understand, that I am unfamiliar with funerals. I've been going to funerals for as long as I can remember. Mostly Southern funerals, where there is sadness, gladness and anticipation. </P> "	"nyt_eng_199412.gz"
"12032"	"you"	"understand"	" ``I think we can do better than we have,'' he said. ``Our original plan was to get sponsors to cover our entire budget of $2.8 million. Half of that, you understand, is supplies; the other half is cash.'' </P> "	"nyt_eng_199501.gz"
"13674"	"you"	"understand"	" I am a carnivore supreme. I have no moral objections to slaying animals for their meat. I don't do the slaying, you understand, but I do enjoy the sizzling part. </P> "	"nyt_eng_199502.gz"
"13678"	"you"	"understand"	" I am a carnivore supreme. I have no moral objections to slaying animals for their meat. I don't do the slaying, you understand, but I do enjoy the sizzling part. </P> "	"nyt_eng_199502.gz"
"15372"	"I"	"understand"	" For awhile, I tried fixing him up with my editor, but she became engaged to someone else -- all on her own, I understand, without any maternal aid whatsoever -- and blew my dream of having a daughter-in-law for a boss, a situation I found most attractive. That was before I knew about the fishing club, an intriguing bonus that raises the ante considerably, and certainly, as a newspaper person, my editor knows all about discount coupons and quite likely has clipped a few herself. </P> "	"nyt_eng_199502.gz"
