"pronoun"	"verb"	"context"	"filename"
"26124"	"he"	"understands"	" Since that fight, he has never fought at less than 154 pounds and has never lost. Now comfortable at 168, he believes that has been part of his success. The rest of it, he understands, not even Jones can fathom. </P> "	"nyt_eng_199506.gz"
"28021"	"he"	"understands"	" And while he says he was a victim of the spotlight, of troubles at home as a boy in Los Angeles, of lack of guidance, he understands, ``I'm still responsible for myself.'' </P> "	"nyt_eng_199507.gz"
"28322"	"he"	"understands"	" The principal architect of the euphoric state presently loose in New England has been Parcells. For all the concerns about the effort to build a new stadium in Boston or the creation of a new logo that has spurred souvenir and clothing sales, it remains the team's on-field success that drives the engine and that is Parcells' sole responsibility. No coach in Patriots history has achieved what he has in so short a time, and he understands this because he has given New England more than football victories. He has returned its self-respect. All he has accomplished, he understands, is about the bottom line. </P> "	"nyt_eng_199507.gz"
"34311"	"he"	"understands"	" So far, Powell has wisely avoided the Ross Perot trap of playing national scold by being above battles in which he is not engaged. It is fine for Perot to posture and fulminate, to ``warn'' America that he might run again next year if Congress doesn't pass his latest, Dallas-designed litmus tests. Presumtuous posturing is always off-putting in a politician, and Powell will avoid such bluster. Nonetheless, he understands, as some of the now-running GOP candidates do not, that what is most unusual about the 1995-96 election cycle is that the action is right here _ not in Iowa, New Hampshire, or any other early-voting primary or caucus state. </P> "	"nyt_eng_199509.gz"
"34312"	"he"	"understands"	" So far, Powell has wisely avoided the Ross Perot trap of playing national scold by being above battles in which he is not engaged. It is fine for Perot to posture and fulminate, to ``warn'' America that he might run again next year if Congress doesn't pass his latest, Dallas-designed litmus tests. Presumtuous posturing is always off-putting in a politician, and Powell will avoid such bluster. Nonetheless, he understands, as some of the now-running GOP candidates do not, that what is most unusual about the 1995-96 election cycle is that the action is right here _ not in Iowa, New Hampshire, or any other early-voting primary or caucus state. </P> "	"nyt_eng_199509.gz"
"46868"	"he"	"understands"	" Boxing, he understands, is a shady business as well, but significantly different. After he retired he bred dogs and trained Neapolitan mastiffs, he taught fitness classes. ``You do so much till you get bored,'' he said. ``And nothing compared to boxing.'' </P> "	"nyt_eng_199601.gz"
"66484"	"he"	"understands"	" This amendment would undermine that effort, Certner said. </P> </TEXT> </DOC> <DOC id=NYT_ENG_19960731.0362 type=advis > <DATELINE>  (BC-HOME-NYTBUDGET) </DATELINE> <TEXT> Home Section stories in sight at this hour from The N.Y. Times News Service for Thursday, Aug. 1:  SOHO-HOTEL (New York) _ Emanuel Stern understands exactly the sociological phenomenon that has made possible his dream of building the first hotel in SoHo in a century. ``Artists constantly stake out underutilized real estate on the fringes, and by doing so are a cultural vanguard,'' he said. ``They come in and make it attractive _ and then the blue suits come in.'' Stern, 33, is a blue suit. In the eyes of many locals, he understands, he is a despoiler of the community that attracted him in the first place.  SOHO-HOTEL-DESIGN (New York) _ When Bill Sofield and Thomas O'Brien, the team behind Soho's Aero Studios, broke up this past spring, everyone in the design industry wondered what would happen to downtown's hottest young firm. Several months later, the answer is beginning to emerge.  AIDS-ADDED-YEARS (Undated) _ They would not relinquish a moment of the extra time they've received for the journey. But a road map _ what they wouldn't give for a better road map. People with AIDS whose lives are being extended through new drug therapies are hearing terms like ``chronic manageable disease'' for the first time. Mostly, they are trying to come to terms with the fact that there may be a long term. After years of preparing to die, they are finding that a readjustment of such magnitude is wrenching, no matter how welcome. By David Lifespan. (With Photo)  PHILLY-TEA-HOUSE (Philadelphia) _ What is more ephemeral than a show house? Like playhouses, they present enticing possibilities to the curious who drift through them, offering the promise of a painless fresh start. After a few months, having inspired some and titillated many, they disappear forever. But one such temporary structure, the Japanese house with tea garden that drew record crowds to the Museum of Modern Art in 1954 and 1955, has gone on to have a real life of its own as a permanent cultural center in Philadelphia, in Fairmount Park, the enormous swath of green that rambles for miles through the western part of the city. By Paula Deitz. (With Photo)  TRAVEL-COMPUTER (Undated) _ Anyone who has ever tried to refold a map can see the attraction of planning a trip using a computer. Several new software products go to the heart of the matter and add some modern advantages. Programs like Tripmaker, Map'n'Go and Automap promise to easily evaluate various travel scenarios and options, and provide useful information on hotels, restaurants and attractions. By Jonathan Pepper.  SMOKING-DREAMS (Undated) _ I smoke in my dreams,'' she says in that jazzy voice that hints of adventure and defiance. ``I wake myself up some nights, just laughing about something and I'll have a cigarette in my hand.'' Nikki Giovanni, the poet, is talking about smoking, about life and death. She quit smoking after being diagnosed with lung cancer last year. Ms. Giovanni misses smoking; she does not find new meaning in life because of her illness. (With Photo)  STANDARD FEATURES  HOME-IMPROVEMENT (Undated) _ Plastic piping. By Edward R. Lipinski.  GARDENING-Q&AMP;A (Undated) _ Your gardening questions ansswered. By Dora Galitzski.  CATEGORY CODE  Editors, unless otherwise indicated, all Home section stories move with an ``l'' life-style category code. </TEXT> </DOC> <DOC id=NYT_ENG_19960731.0363 type=story > <HEADLINE> FINGER POINTING, JOB HUNTING, DEFLATION: OLYMPICS '96 NOTEBOOK </HEADLINE> <DATELINE> Atlanta, July 31 (Bloomberg) (BC-OLY96-NOTEBOOK-BLOOM) </DATELINE> <TEXT> "	"nyt_eng_199607.gz"
"66499"	"he"	"understands"	" In the eyes of many neighbors, he understands, he is a Visigoth from New Jersey, the latest despoiler of an artsy Eden that has become choked with camcorder-wielding tourists. </P> "	"nyt_eng_199607.gz"
"66571"	"he"	"understands"	" (Ms. White also has information on how to buy pickup rights to THE EUROPEAN. For one flat monthly fee you can republish any of the staff-written articles in the newspaper each week.) </P> </TEXT> </DOC> <DOC id=NYT_ENG_19960801.0026 type=advis > <DATELINE>  (PM-BUDGET-NYT) </DATELINE> <TEXT> (sw) c.1996 N.Y. Times News Service  For THURSDAY PMs  Here are the top news stories from The New York Times News Service for PMs of Thursday, Aug. 1.  The PMs news desk, 212-556-1927, opens at 7 a.m. Eastern Time. To get story repeats before this hour call 212-621-1595 for reruns on AP DataFeatures or 214-980-8305 or 8367 for repeats on UPI DataNews.  INTERNATIONAL _ (Moved in ``i'' category)  BRITAIN-EMBRYOS (London) _ Under a new law, Britain is scheduled to begin to destroy more than 3,000 unclaimed human embryos from in-vitro fertilization clinics, an act that has stirred horror and religious outrage among some segments of society and ethical and practical questions as well. By Youssef Ibrahim.  BRITAIN-BOTANIC (London) _ Bulletin: Kew Gardens resident does not stink! (Foreign Journal). By John Darnton.  YUGO-WOUNDED (Sarajevo, Bosnia-Herzegovina) _ Through four years of war, the people of Sarajevo prided themselves on their solidarity. They picked up their dead from the streets, they embraced the wounded, they grieved in cathedrals, churches and mosques. But now, as the city adjusts to peace, that bond has worn thin, say some who were left gravely wounded or paralyzed by the war. For the most part they are treated like outcasts, left in institutions or at home without help. By Jane Perlez.  (ART ADV: Photo [NYT29) to illustrate story has been sent to NYT photo clients.)  NATIONAL _ GENERAL (Moved in ``a'' category)  OLY-BOMB-MEDIA (Undated) _ News media's naming of bomb suspect raises ethical issues. By Frank Bruni.  REPUBS-ABORTION (Los Angeles) _ Raising the specter of a sharply divided Republican National Convention next month, two of the party's leading moderates, Gov. Pete Wilson of California and Gov. William Weld of Massachusetts, said on Wednesday that they would press delegates to substitute an abortion rights plank for the party's current anti-abortion plank. Exclusive. By B. Drummond Ayres Jr.  TWA-CRASH-LASER (East Moriches, N.Y.) _ The crisp black and white photograph could have been snapped on a spotlit stage. Etched in rivet-by-rivet detail is a large flat piece of metal. More than 20 feet across, the section pictured is covered by two letters _ T R _ the first two letters in Trans World Airlines. But this was not shot by a camera. It's the work of the laser-line camera. By Andrew Revkin.  (ART ADV: Graphic to illustrate story has been sent to NYT graphics clients. Photo [NYT33) to illustrate story has been sent to NYT photo clients.)  CAMPAIGN _ (Moved in ``p'' category)  CLINTON-CRIME (Washington) _ President Clinton's record on crime: After nearly three decades of Republican dominance of the issue, President Clinton has scrapped his party's traditional approach to crime and criminal justice, embracing a series of punitive measures that have given him conservative credentials and threatened the Republicans' lock on law and order. By David Johnston and Tim Weiner. (Part five in the Clinton series.)  (ART ADV: Chart to illustrate story has been sent to NYT graphics clients.)  CLINTON-CRIME-JUDGES (Washington) _ In selecting federal judges, President Clinton has not tried to be the Anti-Reagan. By Neil A. Lewis.  WASHINGTON _ (Moved in ``w'' category)  WELFARE-CLINTON _ This was not the welfare bill Clinton hoped to sign, just the one that came to him; in the end, aides insisted, it was not politics that was uppermost on the president's mind, but history. By Todd Purdum.  WELFARE-VOICES (San Francisco) _ The notion of a need for drastic change in the federal welfare system elicited no surprise Wednesday among the men and women slumped in the colored plastic chairs at San Francisco's main welfare office. They did not use words like ``dependency'' and ``underclass.'' But one after another, they told the same sort of story about having only one way to go in their lives now, and no clear way to get there. They said they had heard nothing in all the talk about overhauling welfare to make them think that there odds would now improve. By Tim Golden.  (ART ADV: Photos [NYT31,32) to illustrate story have been sent to NYT photo clients.)  WELFARE-ASSESS (Washington) _ For all of President Clinton's agonizing over the welfare bill's provisions, for all the risk that he would be condemned by the left for signing it, Republicans and Democrats agreed on Wednesday that Clinton's signature on the measure would win him many more votes than it would cost him. By Richard L. Berke.  BUSINESS DAY _ (Moved in ``f'' category)  BOOK-RETURNS _ It's the time of the year to nestle in a beach chair with the sun, a tan and the great American novel of the nanosecond. But the problem with that old-fashioned rite of summer is that books by the thousands are instead washing back to publishers in a mighty tide of rejected literature known wearily in the trade as returns. By Doreen Carvajal.  (ART ADV: Graphic on book returns has been sent to NYT graphics clients. Photo [NYT36) to illustrate story has been sent to NYT photo clients.)  AIRSAFETY-MARKETPLACE _ Companies that make bomb detection devices or sell security services have seen their stocks rise since the crash of TWA Flight 800. Share prices for companies like InVision Technologies, Barringer Technologies, and Magal Security Systems have doubled, and in some cases tripled, in the last two weeks. But airlines and airports, the main customers for these companies' products, have not been so eager to place orders as investors have been to buy their stock. By Claudia H. Deutsch.  SOCSEC-ECONSCENE _ Looking for a painless way to cover roughly one-third of Social Security's unfunded liability to the baby boom generation? Shift a big chunk of the system's trust fund to common stocks, which have enjoyed four times the return of Treasury bonds since the 1920s. By Peter Passell.  COMMENTARY (Moved in ``k'' category)  DOWD-COLUMN (Hollywood) _ Maureen Dowd writes about Bob Dole in Hollywood.  SPORTS (Moved in ``s'' category)  OLY-RUN-ANDERSON-COLUMN (Atlanta) _ Sports of the Times column on track and field focusing on Gail Devers. By Dave Anderson.  (ART ADV: Photo [NYT19) to illustrate story has been sent to NYT photo clients.)  OLY-RUN-BERKOW-COLUMN (Atlanta) _ Column on false starts and human endeavor vs. scientific calibration. By Ira Berkow.  HOME (Moved in ``l'' category)  SOHO-HOTEL (New York) _ Emanuel Stern understands exactly the sociological phenomenon that has made possible his dream of building the first hotel in SoHo in a century. ``Artists constantly stake out underutilized real estate on the fringes, and by doing so are a cultural vanguard,'' he said. ``They come in and make it attractive _ and then the blue suits come in.'' Stern, 33, is a blue suit. In the eyes of many locals, he understands, he is a despoiler of the community that attracted him in the first place.  (ART ADV: Photos [NYT11,18) to illustrate story have been sent to NYT photo clients.)  SOHO-HOTEL-DESIGN (New York) _ When Bill Sofield and Thomas O'Brien, the team behind Soho's Aero Studios, broke up this past spring, everyone in the design industry wondered what would happen to downtown's hottest young firm. Several months later, the answer is beginning to emerge.  AIDS-ADDED-YEARS (Undated) _ They would not relinquish a moment of the extra time they've received for the journey. But a road map _ what they wouldn't give for a better road map. People with AIDS whose lives are being extended through new drug therapies are hearing terms like ``chronic manageable disease'' for the first time. Mostly, they are trying to come to terms with the fact that there may be a long term. After years of preparing to die, they are finding that a readjustment of such magnitude is wrenching, no matter how welcome. By David Dunlap.  PHILLY-TEA-HOUSE (Philadelphia) _ What is more ephemeral than a show house? Like playhouses, they present enticing possibilities to the curious who drift through them, offering the promise of a painless fresh start. After a few months, having inspired some and titillated many, they disappear forever. But one such temporary structure, the Japanese house with tea garden that drew record crowds to the Museum of Modern Art in 1954 and 1955, has gone on to have a real life of its own as a permanent cultural center in Philadelphia, in Fairmount Park, the enormous swath of green that rambles for miles through the western part of the city. By Paula Deitz.  TRAVEL-COMPUTER (Undated) _ Anyone who has ever tried to refold a map can see the attraction of planning a trip using a computer. Several new software products go to the heart of the matter and add some modern advantages. Programs like Tripmaker, Map'n'Go and Automap promise to easily evaluate various travel scenarios and options, and provide useful information on hotels, restaurants and attractions. By Jonathan Pepper.  SMOKING-DREAMS (Undated) _ I smoke in my dreams,'' she says in that jazzy voice that hints of adventure and defiance. ``I wake myself up some nights, just laughing about something and I'll have a cigarette in my hand.'' Nikki Giovanni, the poet, is talking about smoking, about life and death. She quit smoking after being diagnosed with lung cancer last year. Ms. Giovanni misses smoking; she does not find new meaning in life because of her illness.  NYT News Service </TEXT> </DOC> <DOC id=NYT_ENG_19960801.0027 type=story > <HEADLINE> TOURISTS: WELCOME TO SUNNY SERBIA (JUST DON'T MENTION THE WAR) </HEADLINE> <DATELINE>  (BC-SERBIA-WOOS-TOURISTS-EURO-NYTSF) </DATELINE> <TEXT> "	"nyt_eng_199608.gz"
"66582"	"he"	"understands"	" U.S. government officials didn't return repeated telephone calls. </P> </TEXT> </DOC> <DOC id=NYT_ENG_19960801.0095 type=advis > <DATELINE>  (BC-HOME-NYTBUDGET) </DATELINE> <TEXT> Home Section stories in sight at this hour from The N.Y. Times News Service for Thursday, Aug. 1:  SOHO-HOTEL (New York) _ Emanuel Stern understands exactly the sociological phenomenon that has made possible his dream of building the first hotel in SoHo in a century. ``Artists constantly stake out underutilized real estate on the fringes, and by doing so are a cultural vanguard,'' he said. ``They come in and make it attractive _ and then the blue suits come in.'' Stern, 33, is a blue suit. In the eyes of many locals, he understands, he is a despoiler of the community that attracted him in the first place.  SOHO-HOTEL-DESIGN (New York) _ When Bill Sofield and Thomas O'Brien, the team behind Soho's Aero Studios, broke up this past spring, everyone in the design industry wondered what would happen to downtown's hottest young firm. Several months later, the answer is beginning to emerge.  AIDS-ADDED-YEARS (Undated) _ They would not relinquish a moment of the extra time they've received for the journey. But a road map _ what they wouldn't give for a better road map. People with AIDS whose lives are being extended through new drug therapies are hearing terms like ``chronic manageable disease'' for the first time. Mostly, they are trying to come to terms with the fact that there may be a long term. After years of preparing to die, they are finding that a readjustment of such magnitude is wrenching, no matter how welcome. By David Lifespan. (With Photo)  PHILLY-TEA-HOUSE (Philadelphia) _ What is more ephemeral than a show house? Like playhouses, they present enticing possibilities to the curious who drift through them, offering the promise of a painless fresh start. After a few months, having inspired some and titillated many, they disappear forever. But one such temporary structure, the Japanese house with tea garden that drew record crowds to the Museum of Modern Art in 1954 and 1955, has gone on to have a real life of its own as a permanent cultural center in Philadelphia, in Fairmount Park, the enormous swath of green that rambles for miles through the western part of the city. By Paula Deitz. (With Photo)  TRAVEL-COMPUTER (Undated) _ Anyone who has ever tried to refold a map can see the attraction of planning a trip using a computer. Several new software products go to the heart of the matter and add some modern advantages. Programs like Tripmaker, Map'n'Go and Automap promise to easily evaluate various travel scenarios and options, and provide useful information on hotels, restaurants and attractions. By Jonathan Pepper.  SMOKING-DREAMS (Undated) _ I smoke in my dreams,'' she says in that jazzy voice that hints of adventure and defiance. ``I wake myself up some nights, just laughing about something and I'll have a cigarette in my hand.'' Nikki Giovanni, the poet, is talking about smoking, about life and death. She quit smoking after being diagnosed with lung cancer last year. Ms. Giovanni misses smoking; she does not find new meaning in life because of her illness. (With Photo)  STANDARD FEATURES  HOME-IMPROVEMENT (Undated) _ Plastic piping. By Edward R. Lipinski.  GARDENING-Q&AMP;A (Undated) _ Your gardening questions ansswered. By Dora Galitzski.  CATEGORY CODE  Editors, unless otherwise indicated, all Home section stories move with an ``l'' life-style category code. </TEXT> </DOC> <DOC id=NYT_ENG_19960801.0096 type=other > <DATELINE>  (BC-NYLITE(SMILE)-NYT) </DATELINE> <TEXT> c.1996 N.Y. Times News ServiceNo. 1877 Wednesday July 31:  (NYLite items can be published if desired; please credit the contributor.)  MUG OF THE WEEK !!!!!!  We will now be awarding a mug every Friday for the best joke, story, anecdote, whatever, of the week. (C'mon, admit it, you're excited!) Send by fax (212-556-3535) or via e-mail:  Dr. NYlite can now be reached by e-mail: nylite(at)nytimes.com (use ``at'' sign sted (at)).  TODDLER PROPERTY LAWS  From the bulletin board at the Sarasota Tribune.  If I like it, it's mine  If it's in my hand, it's mine.  If I can take it from you, it's mine.  If I had it a little while ago, it's mine.  If it's mine, it must never appear to be yours in any way.  If I'm doing or building something, all the pieces are mine.  If it looks just like mine, it is mine.  If I saw it first, it's mine.  If you are playing with something and you put it down, it automatically becomes mine.  If it's broken, it's yours.  CYNICAL MARRIAGE HUMOR, VOL. XXXVIII  Eve to Adam: Hey, I wear the plants in this family.  Some mornings I wake up grouchy, and some mornings I just let her sleep.  Marriage is grand _ and divorce is about 20 grand.  For a lot of people, marriage is a three-ring circus. You have the engagement ring, the wedding ring, and the suffering.  Bartender: I think you've had enough sir.  Drunk: I just lost my wife, buddy!  Bartender: Well, it must be hard losing a wife....  Drunk: Hard? It was almost impossible.  The honeymoon is over when the man when the husband calls home to say he'll be late for dinner and the answering machine says its in the microwave.  GOOD DAY, WIRE WANDERERS!!!!!  Offer not available in any store! (Or any other news service!)  Looking for contributors with wit, style, depth, charm and genius with jokes, anecdotes, humorous news items, bonus NYLite offerings, or filler material.  Dr. NYLite will respond with a GENUINE New York Times rolling writer-style pen if your item is used. (But see coffee mug offer above.)  All items fit to fax to 212-556-3535 (24 hours), via uniformed government courier, or, now by e-mail (nylite(at)nytimes.com). </TEXT> </DOC> <DOC id=NYT_ENG_19960801.0097 type=story > <HEADLINE> TI GROUP 1ST-HALF PROFIT UP 19% DESPITE MIXED MARKET CONDITIONS </HEADLINE> <DATELINE> London, Aug. 1 (Bloomberg) (BC-EARNS-TI-BLOOM) </DATELINE> <TEXT> "	"nyt_eng_199608.gz"
"91268"	"he"	"understands"	" The church takes care of succession in its parishes; taking care of SEBCO, he understands, is up to him. And so, a few years ago, he sat down his top employees to discuss how to ensure Sebco's endurance. In the time since, he has been tying up loose ends. Worried about the spread of decay, he agreed to take over the management of 25 troubled buildings from another community group. He is trying desperately to regain control of the first buildings Sebco developed from their outside manager. And he has cultivated a successor. </P> "	"nyt_eng_200104.gz"
"121223"	"he"	"understands"	" Most of all, Ruiz has no plans for the future. His only future, he understands, is Saturday night. </P> "	"nyt_eng_200207.gz"
"143274"	"he"	"understands"	" If he does, he understands, the calls for Shane Matthews (are you kidding?) to replace him will quiet down and the talk of No. 1 pick J.P. Losman taking his job next season become more background noise than front-page debate. If he doesn't, the calls for his dismissal will grow louder. Either way, Bledsoe will try to focus on the only thing he can control. Himself and his effort. </P> "	"nyt_eng_200409.gz"
