"pronoun"	"verb"	"context"	"filename"
"12298"	"she"	"understood"	" At best, she understood, this new requirement represented the fear of white parents that black children were little bundles of infection. At worst, it was an attempt to discourage blacks from applying at all. </P> "	"nyt_eng_199501.gz"
"25431"	"he"	"understood"	" At the time, Gonzalez had a record of 220-13 with 169 knockouts, had won a gold medal at both the 1983 and 1987 Pan American Games, had beaten Cuba's legendary three-time Olympic gold medalist, Teofilo Stevenson, three times in four matches and had yet to come close to competing in the Olympics because of Castro's decision to boycott them in 1984 and '88. Thus, although he had beaten 1984 gold medalist Tyrell Biggs at the '83 Pan Am Games and both '88 gold medalist Lennox Lewis and silver medalist Bowe the same weekend at the '87 Pan Am Games, what was left of his career was fast slipping away while he earned 162 Cuban pesos a month (less than $4 US) plus whatever he could make on the black market. This, he understood, was no way for a man to prosper. </P> "	"nyt_eng_199506.gz"
"30986"	"he"	"understood"	" She said a lawyer in the District Attorney's Office ``said he was very sorry, he understood, but...there was nothing else they could do.'' </P> "	"nyt_eng_199508.gz"
"35476"	"they"	"understood"	" Sometimes at work late at night, she would ask patients if she could watch the trial rebroadcasts in their room, while she cared for them. ``Usually, they understood,'' she said. During Johnnie Cochran's closing statements, when she was scheduled for a day shift, she took a vacation day to watch at home. </P> "	"nyt_eng_199510.gz"
"67478"	"he"	"understood"	" Though Gingrich is often attacked as an opportunist, his own intellectual honesty helped trip him up. More than anything else, Gingrich wanted to dismantle the ``bureaucratic welfare state.'' To do that, he understood, he had to attack Congress's addiction to deficit spending. </P> "	"nyt_eng_199608.gz"
"67536"	"he"	"understood"	" Though Gingrich is often attacked as an opportunist, his own intellectual honesty helped trip him up. More than anything else, Gingrich wanted to dismantle the ``bureaucratic welfare state.'' To do that, he understood, he had to attack Congress's addiction to deficit spending. </P> "	"nyt_eng_199608.gz"
"87194"	"they"	"understood"	" ``They knew what I went through and although it wasn't right what I did, they understood,'' Aris said of her in-laws. ``They always expected to get a phone call saying that he had killed me.'' </P> "	"nyt_eng_199702.gz"
"96741"	"I"	"understood"	" Not every entry is satisfying, and the weakest of them are even puzzling; after the first disappointment, I felt as though I had failed the author by not appreciating it. But by the third, I understood, again, how difficult it is to be brilliant every time. Still, Boyle is brilliant more than most. </P> "	"nyt_eng_200109.gz"
"99853"	"I"	"understood"	" ``Being married to him so many years, I understood,'' Ms. Wiswall said. ``He liked things a certain way.'' </P> "	"nyt_eng_200111.gz"
"134136"	"he"	"understood"	" The experience pushed her to put her daughters in a Jewish day school. As they nurtured their two young girls, the AIDS epidemic began to claim the lives of Arpadi's patients. He found himself standing by bedsides with distraught parents or grandparents as his patients died. The world outside began to seem, at times, trivial. Life, he understood, could be swift _ too swift _ and callous. He had to ``reconcile that awful things happen with this notion of a God.'' </P> "	"nyt_eng_200212.gz"
"134140"	"he"	"understood"	" The experience pushed her to put her daughters in a Jewish day school. As they nurtured their two young girls, the AIDS epidemic began to claim the lives of Arpadi's patients. He found himself standing by bedsides with distraught parents or grandparents as his patients died. The world outside began to seem, at times, trivial. Life, he understood, could be swift _ too swift _ and callous. He had to ``reconcile that awful things happen with this notion of a God.'' </P> "	"nyt_eng_200212.gz"
"134492"	"she"	"understood"	" In time, Sabrina says, she understood, and the lock was removed. </P> "	"nyt_eng_200212.gz"
"145025"	"he"	"understood"	" Wednesday night, he understood, was the biggest ballgame in franchise history. There were four chances to win it, but Ramirez wanted just one. I was talking to some of the guys and I said, 'Hey, let's go. Don't let these guys breathe,'  he said. We know what happened against New York. We came back. In baseball, anything can happen out there. </P> "	"nyt_eng_200410.gz"
"169316"	"he"	"understood"	" Wine Spectator actually began scoring wines in 1980, Shanken said, shortly after he paid $40,000 to buy it. A buying guide, he understood, would be crucial to the Spectator's success. The magazine experimented with 9-and 20-point scales before adopting the 100-point system. Shanken bristled when asked if he adopted the 100-point scale in a bid to emulate Parker's success, but he also gave his better-known rival his due. </P> "	"nyt_eng_200608.gz"
"173530"	"I"	"understood"	" In Milton Friedman's world, I understood, that's all that counted. </P> </TEXT> </DOC> <DOC id=NYT_ENG_20061116.0234 type=story > <HEADLINE> RED WINE DRUG THAT COUNTERS OBESITY EFFECTS ALSO FOUND TO AID ENDURANCE </HEADLINE> <TEXT> "	"nyt_eng_200611.gz"
