"pronoun"	"verb"	"context"	"filename"
"12928"	"he"	"vows"	" ``It will be strong and it will be positive,'' he writes. And, he vows, ``I will not simply recast speeches I made in the past.'' </P> "	"nyt_eng_199501.gz"
"15034"	"she"	"vows"	" Mrs. Bell said that tensions had decreased in recent years, and that things like the community center swimming team were bringing families together. Her grandchildren, she vows, ``will not know prejudice.'' </P> "	"nyt_eng_199502.gz"
"15105"	"she"	"vows"	" Mrs. Bell said that tensions had decreased in recent years, and that things like the community center swimming team were bringing families together. Her grandchildren, she vows, ``will not know prejudice.'' </P> "	"nyt_eng_199502.gz"
"15180"	"she"	"vows"	" Mrs. Bell said that tensions had decreased in recent years, and that things like the community center swimming team were bringing families together. Her grandchildren, she vows, ``will not know prejudice.'' </P> "	"nyt_eng_199502.gz"
"56630"	"he"	"vows"	" That doesn't mean any let-up in a regimen that will, he vows, continue until he does indeed drop dead. </P> "	"nyt_eng_199604.gz"
"56962"	"he"	"vows"	" That doesn't mean any let-up in a regimen that will, he vows, continue until he does indeed drop dead. </P> "	"nyt_eng_199604.gz"
"67899"	"he"	"vows"	" And in the next three years, he vows, his business will double. </P> "	"nyt_eng_199608.gz"
"87469"	"he"	"vows"	" The 30-year-old McMichael knows of the expectations and hopes that accompanied him into Mets camp. He knows what Rivera was able to accomplish in front of John Wetteland and how it made an indelible impression on New York fans a year ago. None of that, he vows, will shake him. </P> "	"nyt_eng_199702.gz"
"110649"	"he"	"vows"	" Come next year, he vows, ``I'll make up a batch myself.'' </P> "	"nyt_eng_200203.gz"
"121696"	"she"	"vows"	" The horror of seeing her family slaughtered initially renders the teenage Mary speechless: she cannot forgive her father for passively accepting his family's fate, and she cannot forget seeing her relatives' scalps set out to dry. She asks her captors to kill her; and when they refuse, she steels herself to survive by cultivating a willful detachment: she will not think, she vows, and she will not weep. ``She was almost completely devoid of gesture,'' Larsen writes. ``Her face was blank, her voice was low and without inflection, she answered questions with the shortest of phrases.'' </P> "	"nyt_eng_200208.gz"
"130888"	"he"	"vows"	" And if someone takes ``cheap shots'' at his father, he vows, ``I'll stand up to him as any son would.'' </P> "	"nyt_eng_200211.gz"
"130990"	"he"	"vows"	" And if someone takes ``cheap shots'' at his father, he vows, ``I'll stand up to him as any son would.'' </P> "	"nyt_eng_200211.gz"
"163010"	"he"	"vows"	" On the show, he agonizes that he may be too smart to be governor of a large Southern state, but then again how wise is it to muse publicly about suicide, hit on attractive women (You've got first lady written all over you), toss away a speech (Who wrote this?) and storm out of a strategy session on the campaign bus, complaining: I got to sit and listen to this -- the next word is bleeped -- all day? His first rule as governor, he vows, will be no meetings. </P> "	"nyt_eng_200602.gz"
