"pronoun"	"verb"	"context"	"filename"
"28205"	"he"	"walked"	" Maybe 30 feet, he walked, no more. And in that time, two photographers snapped his picture in a shot that would come to symbolize the tragedy and the futile attempts to contain it. His image would be shown around the world in the next day's newspapers. </P> "	"nyt_eng_199507.gz"
"44368"	"he"	"walked"	" For his journey into the countryside, the maharajah left behind the Mercedes-Benz brought back from his years abroad. Instead, he walked, in a style not likely to be confused with a villager's. Along with a tailored hacking jacket and suede shoes, he carried a handsome cane. </P> "	"nyt_eng_199601.gz"
"50345"	"he"	"walked"	" It was a game that Joey Cranford will put in his scrapbook with an asterisk. He's a second baseman from Macon, Ga., already drafted once by the Cubs. He decided on college. He led off the game with a single, he walked, then singled again. And in the field, you wouldn't have known him from Mark Lemke. </P> "	"nyt_eng_199603.gz"
"68503"	"we"	"walked"	" After tying up our horses at the picket line, we walked, wobbly-legged, to where black mule teams had hauled two flat trucks of portable toilets of a bright blue plastic. </P> "	"nyt_eng_199608.gz"
"68505"	"we"	"walked"	" After tying up our horses at the picket line, we walked, wobbly-legged, to where black mule teams had hauled two flat trucks of portable toilets of a bright blue plastic. </P> "	"nyt_eng_199608.gz"
"68507"	"we"	"walked"	" After tying up our horses at the picket line, we walked, wobbly-legged, to where black mule teams had hauled two flat trucks of portable toilets of a bright blue plastic. </P> "	"nyt_eng_199608.gz"
"68509"	"we"	"walked"	" After tying up our horses at the picket line, we walked, wobbly-legged, to where black mule teams had hauled two flat trucks of portable toilets of a bright blue plastic. </P> "	"nyt_eng_199608.gz"
"68611"	"we"	"walked"	" After tying up our horses at the picket line, we walked, wobbly-legged, to where black mule teams had hauled two flat trucks of portable toilets of a bright blue plastic. </P> "	"nyt_eng_199608.gz"
"68613"	"we"	"walked"	" After tying up our horses at the picket line, we walked, wobbly-legged, to where black mule teams had hauled two flat trucks of portable toilets of a bright blue plastic. </P> "	"nyt_eng_199608.gz"
"68621"	"we"	"walked"	" After tying up our horses at the picket line, we walked, wobbly-legged, to where black mule teams had hauled two flat trucks of portable toilets of a bright blue plastic. </P> "	"nyt_eng_199608.gz"
"68623"	"we"	"walked"	" After tying up our horses at the picket line, we walked, wobbly-legged, to where black mule teams had hauled two flat trucks of portable toilets of a bright blue plastic. </P> "	"nyt_eng_199608.gz"
"105544"	"I"	"walked"	" After my workout, I walked, first out to the nearly deserted boardwalk, where high waves crashed against the tall pier pilings, and carnival rides waited, empty and motionless, for warmer weather. Wandering up into the business district, I stumbled across a farmers market in progress, one that put my local Brooklyn greenmarket in the shade. Stacks of lush green and purple chard glistened in the sun; heaps of carrots, radishes and eggplants beckoned seductively, a California cornucopia. A Middle Eastern date farmer gave me free samples of his wares, medjool dates as creamy as a chocolate truffle. </P> "	"nyt_eng_200202.gz"
"148863"	"they"	"walked"	" Voters danced at polling sites in the Kurdish north and invoked religious decrees while voting in the southern Shiite Muslim holy cities. Amid a ban on car traffic, they walked, rolled in wheelchairs, leaned on canes and zigzagged through razor wire as explosions echoed through the capital. </P> "	"nyt_eng_200501.gz"
