"pronoun"	"verb"	"context"	"filename"
"93"	"they"	"warn"	" Housing officers do their most vital patrolling in the buildings themselves, moving up and down the staircases and roofs trolling for pushers. Officers who are out of shape, they warn, had better cut down on their doughnut intake. </P> "	"nyt_eng_199407.gz"
"1116"	"they"	"warn"	" And if the far right wins control of the nominating process in 1996, they warn, the Republicans could even repeat the electoral disaster the Democrats suffered with George McGovern in 1972. </P> "	"nyt_eng_199407.gz"
"1342"	"they"	"warn"	" The recent arrival of Arafat in Gaza was an emotional boost and a dream come true, Palestinians here say, but it has not had any effect on their daily lives. Without change, they warn, the experiment in self-government will fail. </P> "	"nyt_eng_199407.gz"
"8370"	"they"	"warn"	" To the traditionalists, varietalism, as it is called, is an initial step in the eventual homogenization of wine styles. Varietal names, they warn, will lead consumers to expect the same taste from wines, regardless of where they are made. Furthermore, they contend, the use of varietal names destroys much of the romance we associate with wine. </P> "	"nyt_eng_199411.gz"
"9175"	"they"	"warn"	" But some doctors worry that this assault on their once-sacrosanct reign over implants could compromise health care. At the very least, they warn, the first patients operated on by a doctor who switches to a new device may suffer more pain and a higher rate of failure until the surgeon becomes intimately familiar with the new implant. </P> "	"nyt_eng_199411.gz"
"14427"	"they"	"warn"	" These conductors say they've heard people gripe about subsidies for Amtrak. But just wait, they warn, until Grandma has to hop on the Greyhound come Thanksgiving. </P> "	"nyt_eng_199502.gz"
"19839"	"they"	"warn"	" Ideological rabble-rousers, with scant leverage available, are thus left to pick on the advertisers. Pull your ads, they warn, or we'll stage a boycott of your products. </P> "	"nyt_eng_199504.gz"
"19840"	"they"	"warn"	" Ideological rabble-rousers, with scant leverage available, are thus left to pick on the advertisers. Pull your ads, they warn, or we'll stage a boycott of your products. </P> "	"nyt_eng_199504.gz"
"19841"	"they"	"warn"	" Ideological rabble-rousers, with scant leverage available, are thus left to pick on the advertisers. Pull your ads, they warn, or we'll stage a boycott of your products. </P> "	"nyt_eng_199504.gz"
"24226"	"they"	"warn"	" ``They're shabby -- leaky roofs, inefficient heating, peeling paint, horrible grounds, graffiti, drafty windows,'' Payne said. ``It breaks your heart.'' </P> </TEXT> </DOC> <DOC id=NYT_ENG_19950606.0198 type=advis > <DATELINE>  (BC-HEARST-NEWS-BUDGET-HNS) </DATELINE> <TEXT> For Wednesday, June 7, 1995 c.1995 Hearst News Service The Hearst News Service has filed or will file the following stories for clients of the NYTimes News Service for Wednesday. If you have questions, contact Susie McBee at 202-298-6920 or Judy Holland at 202-298-6320. (Slug includes the HNS designation.)  WASHINGTON NEWS (``w'' category)  CLINTON-VETO (Washington) _ President Clinton prepares to recast his ``let's-make-a-deal'' presidency with his first veto. He has promised to reject a GOP-sponsored measure to slash current government spending by $16.4 billion, and the bill is due to arrive at the White House Tuesday. By STEWART M. POWELL.  JUSTICE-TOBACCO (Washington) _ The Justice Department announces a settlement with a major tobacco company to remove cigarette advertising signs from sports arenas in New York, San Francisco, Atlanta, New Orleans and elsewhere. Companies place their signs strategically so that they appear in televised sporting events. Justice says the practice circumvents the 1971 federal ban on broadcast tobacco ads. By DAN FREEDMAN.  GRAMM-VOTES (Washington) _ Texas Sen. Phil Gramm is out campaigning so much for the GOP presidential nomination that he now has the second worst voting record in the Senate, and he's missing many more votes than the other three GOP senators running for the office. By ELIZABETH SCHWINN.  INTERNATIONAL NEWS (``i'' category)  JAPAN-ECONOMY (Paris) _ already filed _ In proposing punitive trade sanctions against Japan, the Clinton administration may have targeted yesterday's economic rival, according to a number of experts. Japan, they warn, may be headed for an economic implosion comparable to America's 1929 crash. By BERNARD D. KAPLAN.  COMMENTARY (``k'' category)  MEANS-COLUMN (Washington) _ Ross Perot's conservative voters are still a potent election force, but the man himself is a joke. President Clinton would be wise not to join the GOP candidates in paying homage to Perot in August. Why kow-tow to a guy who demanded that voters turn Congress over to the Republicans last November? By MARIANNE MEANS. </TEXT> </DOC> <DOC id=NYT_ENG_19950606.0199 type=advis > <DATELINE>  (BC-HEALTH-BUDGET-NYT) </DATELINE> <TEXT> Health and science stories in sight at this hour from The New York Times News Service for Wednesday, June 7.  For information and repeats call the News Service at (212) 556-1927. And be sure to look for other health and science stories from our partners: The Boston Globe, Cox News Service, Hearst News Service, The Arizona Republic, The Phoenix Gazette, Kansas City Star, Fort Worth Star-Telegram, Los Angeles Daily News, San Francisco Chronicle and Seattle Post Intelligencer.  HEALTH (``a'' or ``l'' code)  BRODY-HEALTH (Undated) _ The Personal Health column: The dental benefits of fluorides have been demonstrated over and over again, but the contribution to dental health made by fluorides in water has diminished in recent years, thanks to the decay-inhibiting benefits now derived from the widespread use of fluoridated toothpastes and mouth rinses, the use of fluoride supplements and the fluoride treatments applied by dentists to children's teeth. By Jane E. Brody.  OTHER SCIENCE  HUBBLE-NEW-STARS (Undated) _ Astronomers release new images of stars being born taken by the Hubble Space Telescope. By John Noble Wilford.  ECKERT-OBIT (Undated) _ John P. Eckert Jr., computer pioneer, dies. </TEXT> </DOC> <DOC id=NYT_ENG_19950606.0200 type=story > <HEADLINE> MERRILL LYNCH WINS BID FOR TRUSTEE TO RUN PAN-AMERICAN DIAMOND </HEADLINE> <DATELINE> New York, June 6 (Bloomberg) (BC-PAN-AMERICAN-DIAMOND-BLOOM) </DATELINE> <TEXT> "	"nyt_eng_199506.gz"
