"pronoun"	"verb"	"context"	"filename"
"20"	"he"	"warned"	" And, he warned, don't expect to look as good as your grandmother when you are her age if you have equal exposure to the sun. Ultraviolet radiation is stronger today than it was 50 years ago because of the depletion of ozone, which filters sunlight and prevents significant amounts of harmful radiation from reaching the Earth's surface. </P> "	"nyt_eng_199407.gz"
"518"	"they"	"warned"	" Failure by the Bosnian Serbs or by the Muslim-dominated government to do so, they warned, would raise the ``grave risk'' that the war would explode anew and even widen. </P> "	"nyt_eng_199407.gz"
"523"	"they"	"warned"	" Failure by the Bosnian Serbs or by the Muslim-dominated government to do so, they warned, would raise the ``grave risk'' that the war would explode anew and even widen. </P> "	"nyt_eng_199407.gz"
"1152"	"he"	"warned"	" As for Arafat, the prime minister declined to discuss his feelings about him now that they have met several times. But the new self-rule in the Gaza Strip and Jericho cannot succeed, he warned, unless the Palestinian leader reassures would-be foreign donors who are skittish about where their money is going. </P> "	"nyt_eng_199407.gz"
"2344"	"he"	"warned"	" Carlisle's letter, he warned, ``is only the first shot in what will probably turn out to be an ongoing effort to politicize our organization.'' Another member, P.M. Allizzi of Hunting Valley, Idaho, wrote sarcastically of ``that new Sacred Trinity: gender-race-class'' and denounced what he termed the ``tedious ideological tub-thumping'' of Carlisle's letter. </P> "	"nyt_eng_199408.gz"
"2667"	"he"	"warned"	" The true costs are ``very, very difficult'' to come by, agreed the FBI director, Louis J. Freeh. But, he warned, ``I certainly know what the cost of not proceeding will be.'' </P> "	"nyt_eng_199408.gz"
"2719"	"he"	"warned"	" If disability can be proven, he warned, an association cannot legally enforce its no-pet restriction because the pet owner will be protected by federal and state disability laws. </P> "	"nyt_eng_199408.gz"
"3326"	"he"	"warned"	" However, he warned, ``You do have to watch out not to hit or be hit by other surfers,'' he said. ``Your reaction time must be quicker since your range of vision is shorter. Instinct takes over.'' </P> "	"nyt_eng_199408.gz"
"3906"	"they"	"warned"	" And if those requirements weren't met, they warned, people at risk would develop a false sense of confidence in an imperfect vaccine and increase the rate at which the epidemic spreads by continuing to infect others. </P> </TEXT> </DOC> <DOC id=NYT_ENG_19940901.0316 type=story > <HEADLINE> SYMBOLS AND INEQUITIES OF THE SOUTH LINGER ON TOURISM-RICH HILTON HEAD </HEADLINE> <DATELINE> HILTON HEAD ISLAND, S.C.  (BC-HILTON-HEAD-BLACKS-ART-630-(2TAKES)-NYT) </DATELINE> <TEXT> "	"nyt_eng_199409.gz"
"4036"	"he"	"warned"	" He said the workers would have to carry a bigger share of the burden this year to let Lincoln reduce its debts from the expansion abroad and invest in new equipment. Otherwise, he warned, the company could be bankrupted by the next domestic downturn. </P> "	"nyt_eng_199409.gz"
