"pronoun"	"verb"	"context"	"filename"
"897"	"he"	"was"	" For a while, he stayed with NASA, working on the space shuttle program; besides being a pilot, he had earned a doctorate in astronautics at MIT. He grew restless. In 1971, he decided to resume his Air Force career, leaving the space agency to command the test pilot school at Edwards AFB in California. But with his lack of managerial experience and intense personality, he was, perhaps, not suited for the job. In any event, he was hospitalized for severe depression. </P> "	"nyt_eng_199407.gz"
"945"	"he"	"was"	" Ever since he joined the political fray six months ago, friends and enemies have agreed on one thing about Silvio Berlusconi: with his sound-bite sincerity and his feel-good messages, he was, as the headlines said, a Vendor of Dreams. </P> "	"nyt_eng_199407.gz"
"985"	"he"	"was"	" For a while, he stayed with NASA, working on the space shuttle program; besides being a pilot, he had earned a doctorate in astronautics at MIT. He grew restless. In 1971, he decided to resume his Air Force career, leaving the space agency to command the test pilot school at Edwards AFB in California. But with his lack of managerial experience and intense personality, he was, perhaps, not suited for the job. In any event, he was hospitalized for severe depression. </P> "	"nyt_eng_199407.gz"
"1126"	"it"	"was"	" When, in 1904, he built his home here in the countryside near Helsinki, it was, in a sense, an expression of his inner life. He named the house Ainola in tribute to Aino Jarnefelt, the remarkable woman with whom he shared 65 years of marriage. </P> "	"nyt_eng_199407.gz"
"1595"	"it"	"was"	" If the relationship between Landry and Dorsett was stormy, it was, both say, a matter of business differences. </P> "	"nyt_eng_199407.gz"
"1596"	"he"	"was"	" ``When he was examining me, he was, like, gentle,'' Harold recalls. ``He wasn't like a regular doctor. His hands were like gold. Just the way he examined -- like, no fear. I had no fear.'' </P> "	"nyt_eng_199407.gz"
"1757"	"I"	"was"	" Still, if the whole world was not watching, I was, at least for the first two days' sessions in the House Banking Committee. A lonely exercise, yes, but not as difficult as you might think. If you prop open your eyes with alligator clips, like Malcolm McDowell in the torture sequence of ``A Clockwork Orange,'' and freebase caffeine, Whitewater hearings are a snap. </P> "	"nyt_eng_199407.gz"
"1806"	"I"	"was"	" Still, if the whole world was not watching, I was, at least for the first two days' sessions in the House Banking Committee. A lonely exercise, yes, but not as difficult as you might think. If you prop open your eyes with alligator clips, like Malcolm McDowell in the torture sequence of ``A Clockwork Orange,'' and freebase caffeine, Whitewater hearings are a snap. </P> "	"nyt_eng_199407.gz"
"2686"	"it"	"was"	" ``Tonight, when we left the field after the first quarter, it was, `OK, that's normal, that's the way we're supposed to feel,''' said quarterback Steve Young. ``We can't be wishy-washy on September 5 (when the season opens against the Raiders). We've got to be full stride, and tonight makes me feel hopeful we'll be full stride on September 5.'' </P> "	"nyt_eng_199408.gz"
"2852"	"it"	"was"	" HORACE SILVER, Pencil Packin' Papa (Columbia 476979 2). In the '50s, Horace Silver earned the title ``Godfather of Funk'' with a succession of best-selling recordings, many of whose songs would become standard fare in jazz's literature. While he has always been regarded as a more-than-able jazz pianist, it was, and continues to be, his special gift as a composer that has brought Horace his greatest recognition. That, and his ability to recruit musicians who can properly play what he has invented and scored. </P> "	"nyt_eng_199408.gz"
"3307"	"it"	"was"	" When our ``twain'' met, it was, most often, stumbling, bleary-eyed on the way to the shower. We would acknowledge each other's presence. </P> "	"nyt_eng_199408.gz"
"3456"	"it"	"was"	" At Switzer's first NFL training camp, inquiring eyes took in his every move, analyzed every action. For Switzer, it was, indeed, a pain in the neck -- but mostly because an old football injury has been flaring up again. </P> "	"nyt_eng_199408.gz"
"4371"	"it"	"was"	" ``Basically, it was, `Come out, start your first year,''' Kennedy said. </P> "	"nyt_eng_199409.gz"
"4544"	"he"	"was"	" On the freeway, they told him he would likely be put on a plane to Nicaragua that night -- as, in fact, he was, unaccompanied by any official. Lurching from side to side, trying to twist out of his handcuffs, he told the officers he would be back in no time. </P> "	"nyt_eng_199409.gz"
"4993"	"it"	"was"	" But for a century, it was, for 8,000 people diagnosed with leprosy, what has been called ``a living tomb.'' </P> "	"nyt_eng_199409.gz"
"5241"	"he"	"was"	" Call it luck or call it prescience. But Dr. Vinton G. Cerf, a computer scientist as comfortable in an academic setting as he is in private industry, seems to make a success of nearly everything he touches. And when he returned to MCI in January after an eight-year absence, he was, by his own account, eager to build something again. </P> "	"nyt_eng_199409.gz"
