"pronoun"	"verb"	"context"	"filename"
"21713"	"I"	"went"	" ``I thought it was a brilliant piece of writing and a brilliant piece of acting. It was funny,'' Caesar told the Daily News a while back. ``When I looked at the writers' room, I went, `My God.' It wasn't too far from the truth. And it was done so well.'' So there. </P> "	"nyt_eng_199505.gz"
"25550"	"we"	"went"	" ``So, of course, we went, and we were herded like cattle,'' Svetlana said, first to the central square, where they were ordered to wait face down on the ground while other hostages were gathered for some 90 minutes. </P> "	"nyt_eng_199506.gz"
"35277"	"they"	"went"	" Nothing, not even this epic September collapse, could be worse than that. ``They've just been getting hammered,'' Tucker said, settling in to watch his team's last stand Wednesday night in Seattle. ``I mean, they went, what, 75 innings without a lead? That's eight games.'' </P> "	"nyt_eng_199509.gz"
"51734"	"you"	"went"	" ``If the individual came in wearing their navy pinstripe suit, burgundy tie, and white button-down collar shirt, you went, `they'll fit,''' Dench said. ``If they came in wearing apparel that was non-Nordstrom looking, with European clothes and lots of flash and dash to it, that wasn't the type of sales person who could relate to the Nordstrom natural-shoulder clothing that they sold,'' he said. </P> "	"nyt_eng_199603.gz"
"51735"	"you"	"went"	" ``If the individual came in wearing their navy pinstripe suit, burgundy tie, and white button-down collar shirt, you went, `they'll fit,''' Dench said. ``If they came in wearing apparel that was non-Nordstrom looking, with European clothes and lots of flash and dash to it, that wasn't the type of sales person who could relate to the Nordstrom natural-shoulder clothing that they sold,'' he said. </P> "	"nyt_eng_199603.gz"
"67031"	"I"	"went"	" ``At first I was going, `What am I doing?' '' Williams said of his stay at Camp Coppola. ``Then after a week, I went, `I know what I'm doing, I'm having a great time. I'm remembering this. I'm remembering riding on a bike with a friend.' '' </P> "	"nyt_eng_199608.gz"
"67069"	"I"	"went"	" ``At first I was going, `What am I doing?' '' Williams said of his stay at Camp Coppola. ``Then after a week, I went, `I know what I'm doing, I'm having a great time. I'm remembering this. I'm remembering riding on a bike with a friend.' '' </P> "	"nyt_eng_199608.gz"
"72186"	"he"	"went"	" ``I was ticked,'' Gwynn said. ``If I'd had a knife and a frying pan, that chicken's rear end would've been mine. I'm sitting there waiting to hit, and Piazza started laughing. You know how Piazza is, he went, `Dude, what is this?' '' </P> "	"nyt_eng_199609.gz"
"90787"	"you"	"went"	" ``If the emperor summoned you with a bag of gold, you went,'' Reynolds said. ``Just as top designers hop on a plane when Disney wants a fine edifice in Florida.'' </P> "	"nyt_eng_200104.gz"
"92763"	"I"	"went"	" ``I was more upset about the hit than anything,'' Wagner, 29, said. ``I really hadn't moved my arm to feel anything at that point, but when I caught the ball and lifted my arm, I went, `Man, that doesn't feel right.' It felt real knotted up and tight, and I said, `I ain't taking any practice or warm-up throws.' '' </P> "	"nyt_eng_200106.gz"
"97678"	"she"	"went"	" But who actually does get down to the site depends on whom they know, what strings they can pull or what friendly face is waiting on the other side of a gate. Susan Sarandon? No problem. Kelly Ripa, Regis Philbin's co-host? ``Yeah, she went,'' said a vexed city official. </P> "	"nyt_eng_200110.gz"
"98266"	"he"	"went"	" Paterno even had second thoughts about attending an alumni gathering last Friday in Pittsburgh, where he was sure to be treated with great reverence. He had not been getting much sleep, and he had a touch of the flu. Finally, he went, saying, ``If I don't show up, people would say I'm hiding.'' </P> "	"nyt_eng_200110.gz"
"102778"	"she"	"went"	" In Fort Greene, Brooklyn, where Campbell lived, her car was at everyone's service. ``If I told her someone was in the hospital, she went,'' said Jacksie Smith, a friend. ``The people didn't even know her, and by the time she walked out the door, they knew her.'' </P> "	"nyt_eng_200112.gz"
