"pronoun"	"verb"	"context"	"filename"
"869"	"I"	"will"	" ``That's messed up,'' she said. ``They should be doing it here, too. They don't care about people here, I guess. If I get sick I have to pay, and I can't afford it. I get paid $2.90 an hour. If I have to go to a doctor, I will, but I'll be late paying the rent.'' </P> "	"nyt_eng_199407.gz"
"2433"	"it"	"will"	" He and other lawyers who fought the federal government in this case predicted that if the appellate court's ruling stands, it will, within a few months, alter the vast flow of federal funds to states, cities and local agencies, which is often doled out on the basis of population. </P> "	"nyt_eng_199408.gz"
"2750"	"they"	"will"	" If the military and police -- the lines between those forces are blurred here -- are determined to find you, they will, Fagenes said. ``You trust no one,'' he said. ``I don't even know if this man sitting next to me right now is an informant.'' </P> "	"nyt_eng_199408.gz"
"3062"	"we"	"will"	" ``If there's a way we can make the racetrack better and safer, we will,'' said executive vice president Craig Fravel. </P> "	"nyt_eng_199408.gz"
"3071"	"we"	"will"	" The plaintive cries are heard in Washington. ``If we can play a constructive role, we will,'' said Bill Clinton at a White House press conference on Aug. 3. </P> "	"nyt_eng_199408.gz"
"3072"	"we"	"will"	" The plaintive cries are heard in Washington. ``If we can play a constructive role, we will,'' said Bill Clinton at a White House press conference on Aug. 3. </P> "	"nyt_eng_199408.gz"
"3073"	"we"	"will"	" The plaintive cries are heard in Washington. ``If we can play a constructive role, we will,'' said Bill Clinton at a White House press conference on Aug. 3. </P> "	"nyt_eng_199408.gz"
"3079"	"we"	"will"	" The plaintive cries are heard in Washington. ``If we can play a constructive role, we will,'' said Bill Clinton at a White House press conference on Aug. 3. </P> "	"nyt_eng_199408.gz"
"3080"	"we"	"will"	" The plaintive cries are heard in Washington. ``If we can play a constructive role, we will,'' said Bill Clinton at a White House press conference on Aug. 3. </P> "	"nyt_eng_199408.gz"
"3081"	"we"	"will"	" The plaintive cries are heard in Washington. ``If we can play a constructive role, we will,'' said Bill Clinton at a White House press conference on Aug. 3. </P> "	"nyt_eng_199408.gz"
"3222"	"we"	"will"	" The plaintive cries are heard in Washington. ``If we can play a constructive role, we will,'' said Bill Clinton at a White House press conference on Aug. 3. </P> "	"nyt_eng_199408.gz"
"3223"	"we"	"will"	" The plaintive cries are heard in Washington. ``If we can play a constructive role, we will,'' said Bill Clinton at a White House press conference on Aug. 3. </P> "	"nyt_eng_199408.gz"
"3224"	"we"	"will"	" The plaintive cries are heard in Washington. ``If we can play a constructive role, we will,'' said Bill Clinton at a White House press conference on Aug. 3. </P> "	"nyt_eng_199408.gz"
