"pronoun"	"verb"	"context"	"filename"
"10244"	"we"	"win"	" The Vikings scored on six of their eight possessions, largely because they were able to convert many of their key third-down situations. Each of their scoring drives contained at least one third-down conversion of 5 yards or more. ``If we stop them on third down, we win,'' Talley said. </P> "	"nyt_eng_199412.gz"
"14117"	"we"	"win"	" ``If it's pro-choice vs. pro-life, we win,'' the aide said ``But if the issue becomes credibility, you can't win that fight. It's amazing we're in this spot again, given their history of problems with nominees.'' </P> </TEXT> </DOC> <DOC id=NYT_ENG_19950207.0329 type=story > <HEADLINE> TWO MILITANTS BACK IN JAIL </HEADLINE> <DATELINE> PARIS  (BC-ALGERIA-NYT) </DATELINE> <TEXT> "	"nyt_eng_199502.gz"
"18535"	"you"	"win"	" ``Oh, if you're the Republican leadership, you win,'' said Gore. ``They've increased the funding for their offices 50 percent. They've kept federally funded frequent flyer miles for their own use. They've preserved gifts from lobbyists. But American citizens lose: citizens who depend on a school lunch, people with disabilities, first-time homebuyers, young people who need college loans and their parents, people who need work training, public health, public safety, our environment.`` </P> "	"nyt_eng_199504.gz"
"18963"	"they"	"win"	" ``The problem is, even if they lose, they win,'' said Finkel, who has faced six abortion malpractice suits, some filed by other lawyers than Jakubczyk, which were all dismissed. ``Whatever happens in court, they've had the press conference, and I've been damaged. I'm paying $25,000 a year for insurance now, and I'm not allowed to practice out of state, all because of this developing art form of legal misconduct.'' </P> "	"nyt_eng_199504.gz"
"19093"	"they"	"win"	" ``The problem is, even if they lose, they win,'' said Finkel, who has faced six abortion malpractice suits, some filed by other lawyers than Jakubczyk, which were all dismissed. ``Whatever happens in court, they've had the press conference, and I've been damaged. I'm paying $25,000 a year for insurance now, and I'm not allowed to practice out of state, all because of this developing art form of legal misconduct.'' </P> "	"nyt_eng_199504.gz"
"39443"	"we"	"win"	" ``When Scottie rebounds, we win,'' Bulls coach Phil Jackson said. ``That is one of the trademarks of this basketball club.'' </P> "	"nyt_eng_199511.gz"
"40981"	"we"	"win"	" ``When we run the ball, we win,'' said Bledsoe (21 of 45, 263 yards, 3 TDs, 3 interceptions), ``and when we have trouble running the ball we don't win. It's kind of becoming apparent that with the makeup of this team right now, we've got to have consistent production out of our running game to win ballgames.'' </P> "	"nyt_eng_199511.gz"
"41630"	"we"	"win"	" ``Our story this season has been if we don't make turnovers, we win,'' said Pullig, who was 21-of-39 for 256 yards and was sacked three times. ``It's tough to turn the ball over that many times (six against Texas) and win no matter who you're playing.'' </P> "	"nyt_eng_199512.gz"
"51301"	"they"	"win"	" ``If you let them control your behavior, they win,'' he said. </P> "	"nyt_eng_199603.gz"
"60167"	"we"	"win"	" ``When we run on issues, we win,'' said Republican National Committee Chairman Haley Barbour. And no issue wins more for Republicans than tax cuts. </P> "	"nyt_eng_199605.gz"
"60172"	"we"	"win"	" ``When we run on issues, we win,'' said Republican National Committee Chairman Haley Barbour. And no issue wins more for Republicans than tax cuts. </P> "	"nyt_eng_199605.gz"
"60245"	"we"	"win"	" ``When we run on issues, we win,'' said Republican National Committee Chairman Haley Barbour. And no issue wins more for Republicans than tax cuts. </P> "	"nyt_eng_199605.gz"
