"pronoun"	"verb"	"context"	"filename"
"1471"	"they"	"won't"	" ``Women know if they walk into a bar with a good tan, the guys are going to look at them, but if they're all white and sick-looking, they won't,'' Scialdone says. </P> "	"nyt_eng_199407.gz"
"1474"	"they"	"won't"	" ``Women know if they walk into a bar with a good tan, the guys are going to look at them, but if they're all white and sick-looking, they won't,'' Scialdone says. </P> "	"nyt_eng_199407.gz"
"28571"	"she"	"won't"	" But no, she won't, Horne said, noting that it's been the big chains that have pulled books like Salman Rushdie's ``Satanic Verses'' off the shelves when they ran into controversy. </P> "	"nyt_eng_199507.gz"
"34785"	"I"	"won't"	" ``No, I won't,'' Ford said. </P> "	"nyt_eng_199509.gz"
"53126"	"we"	"won't"	" ``What meets the need of the hour we will support, and what doesn't, we won't,'' he said. ``We'll decide on the issues.'' </P> "	"nyt_eng_199603.gz"
"53201"	"we"	"won't"	" ``What meets the need of the hour we will support, and what doesn't, we won't,'' he said. ``We'll decide on the issues.'' </P> "	"nyt_eng_199603.gz"
"53471"	"we"	"won't"	" ``What meets the need of the hour we will support, and what doesn't, we won't,'' he said. ``We'll decide on the issues.'' </P> "	"nyt_eng_199603.gz"
"53479"	"we"	"won't"	" ``What meets the need of the hour we will support, and what doesn't, we won't,'' he said. ``We'll decide on the issues.'' </P> "	"nyt_eng_199603.gz"
"57240"	"we"	"won't"	" ``Not in my shop, we won't,'' I replied. She intends to hinge the wings to the front to make the little theater portable so she can carry it to various places where she works with little kids. I told her that nails would never stand up to that sort of stress. </P> "	"nyt_eng_199604.gz"
"59627"	"it"	"won't"	" ``If people want to maintain it, it will be there. If they don't, it won't,'' Frazier said. </P> </TEXT> </DOC> <DOC id=NYT_ENG_19960520.0231 type=story > <HEADLINE> COMMENTARY: ABORTION REALITY IS SINKING IN AMONG REPUBLICANS </HEADLINE> <DATELINE>  (BC-TEEPEN-COLUMN-COX) </DATELINE> <TEXT> "	"nyt_eng_199605.gz"
"59946"	"I"	"won't"	" ``Mr. Carr told me not to worry about that, so if they said it's OK, I won't,'' he said. ``I felt kind of weak at the end there.'' </P> "	"nyt_eng_199605.gz"
"67722"	"you"	"won't"	" ``I told them, `If we sell it, you get paid; if we don't, you won't,' '' he said. `` `Either way, I'll guarantee the funniest night you'll ever have in your life.' '' </P> "	"nyt_eng_199608.gz"
"79361"	"you"	"won't"	" ``No, you won't,'' said the detective, Anthony DeRita. </P> "	"nyt_eng_199611.gz"
"79443"	"it"	"won't"	" ``No, it won't,'' he said, following the club's one-hour workout here at the Ristuccia Center. ``I've played 850 games in this league, and I believe I play hard every night. Some nights I might stink, but...'' </P> "	"nyt_eng_199611.gz"
"85041"	"we"	"won't"	" ``If it stands up on business grounds, we'll buy it, and if it doesn't, we won't,'' said Fraher. </P> "	"nyt_eng_199701.gz"
"85059"	"we"	"won't"	" ``If it stands up on business grounds, we'll buy it, and if it doesn't, we won't,'' said Fraher. </P> "	"nyt_eng_199701.gz"
"91451"	"it"	"won't"	" ``Unless the commission does an exceptional job educating the public, and unless both parties get together and decide it's going to happen, it won't,'' said Representative E. Clay Shaw Jr., chairman of the House Ways and Means subcommittee on Social Security. </P> "	"nyt_eng_200105.gz"
