"pronoun"	"verb"	"context"	"filename"
"8286"	"we"	"won"	" Henley added, ``I don't want to undermine this victory. I'm just saying that we need to build on what could have happened. I just want to make sure that we realize that, yes, we won, but we've got to learn from the mistakes we made. Because we could have lost.'' </P> "	"nyt_eng_199411.gz"
"8985"	"he"	"won"	" ``Pataki could look so magnanimous just by being, to use a good old-fashioned New York City word, a mensch about it,'' he said. ``After all, he won, and the only thing worse than a sore loser is a sore winner.'' </P> </TEXT> </DOC> <DOC id=NYT_ENG_19941118.0348 type=story > <HEADLINE> FIRE ANTS: EAT THIS AND DIE! </HEADLINE> <DATELINE> FORT WORTH, Texas  (BC-FIRE-ANTS-TEX) </DATELINE> <TEXT> "	"nyt_eng_199411.gz"
"10256"	"we"	"won"	" ``He said, we won, but if we're going to get to the ultimate prize, we're going to have to analyze ourselves,'' said tackle Harris Barton -- explaining that Young didn't spare any area of the team, from the head coach to special teams, and including himself. </P> "	"nyt_eng_199412.gz"
"22062"	"they"	"won"	" The New York Rangers are one victory from an upset of the Quebec Nordiques in the first round of the Stanley Cup playoffs. In another nasty, brutal battle, they won, 3-2, Friday last night at Madison Square Garden when Steve Larmer scored at 8 minutes 9 seconds of overtime. </P> "	"nyt_eng_199505.gz"
"26957"	"they"	"won"	" ``If you look at all the championship teams of the past, they won, then they fell off the planet. We wanted to see if we could re-group on the fly.'' </P> "	"nyt_eng_199507.gz"
"35433"	"they"	"won"	" The church itself was an antique. A cavernous, two room affair with no running water and no restrooms. We had to go outside, toward the cemetery that stretched down the hillside, to use outhouses _ fighting off the wasps that inevitably nested there. More often than not, they won, and we waited. A good lesson in Presbyterian forbearance. </P> "	"nyt_eng_199510.gz"
"35848"	"they"	"won"	" ``I'm extremely proud,'' manager Kennedy said after the beating. ``I think we're at the tip of the iceberg. There's 53 guys that touched this club and contributed in every way. There are no excuses to be made for this series. We lost, they won, and we'll be back.'' </P> "	"nyt_eng_199510.gz"
"37887"	"he"	"won"	" Hershiser's work was done after that. For eight glorious innings the pitcher who had come into the game with a 7-1 post-season record showed how one gets such a pristine record. He allowed only five hits. He walked only one. He had struck out six. And, in the end, he won, again, in epic fashion, reminding all that this, after all, is what he does best. </P> </TEXT> </DOC> <DOC id=NYT_ENG_19951027.0009 type=story > <HEADLINE> PEACH-FUZZED PAPAS TAUGHT `RESPONSIBLE FATHERHOOD' </HEADLINE> <DATELINE> BOSTON (BC-TEEN-DADDYS-ECONOMIST) </DATELINE> <TEXT> "	"nyt_eng_199510.gz"
"40903"	"they"	"won"	" ``Last year we were new, and we were different,'' said Auriemma. ``It was, `UConn, what a great story.' But now it's `Great, they won, now let's get someone new in here.' </P> "	"nyt_eng_199511.gz"
"46057"	"they"	"won"	" And they also reverted to their familiar rituals. Instead of partying with their wives the night before the game, as they had done in 1969, the players waited until after the game to celebrate. This time, they won, 16-13. </P> </TEXT> </DOC> <DOC id=NYT_ENG_19960121.0004 type=story > <HEADLINE> THIS WEEK IS GOING TO BE, WELL . . . NUTS </HEADLINE> <DATELINE>  (BC-FBN-SUPERFAN-DIARY-AZR) </DATELINE> <TEXT> "	"nyt_eng_199601.gz"
"46063"	"they"	"won"	" And they also reverted to their familiar rituals. Instead of partying with their wives the night before the game, as they had done in 1969, the players waited until after the game to celebrate. This time, they won, 16-13. </P> </TEXT> </DOC> <DOC id=NYT_ENG_19960121.0027 type=story > <DATELINE>  (BC-FBN-SUPER-PITTSBURGH-AZR) </DATELINE> <TEXT> "	"nyt_eng_199601.gz"
"46064"	"they"	"won"	" And they also reverted to their familiar rituals. Instead of partying with their wives the night before the game, as they had done in 1969, the players waited until after the game to celebrate. This time, they won, 16-13. </P> </TEXT> </DOC> <DOC id=NYT_ENG_19960121.0045 type=story > <HEADLINE> HEALING WOODSON READY TO PLAY </HEADLINE> <DATELINE> PITTSBURGH (BC-FBN-SUPER-WOODSON-AZR) </DATELINE> <TEXT> "	"nyt_eng_199601.gz"
"46930"	"we"	"won"	" ``We rode limos, we partied hard, we won,'' Cowboys offensive guard Nate Newton said. ``We're taking a big, luxury plane to Hawaii tomorrow for the Pro Bowl. Tell people in Dallas not to get upset.'' </P> "	"nyt_eng_199601.gz"
"47257"	"we"	"won"	" ``We rode limos, we partied hard, we won,'' Newton tells us. ``We're taking a big, luxury plane to Hawaii tomorrow for the Pro Bowl. Tell people in Dallas not to get upset.'' </P> "	"nyt_eng_199601.gz"
"68226"	"they"	"won"	" ``I think the last time we played them in extra innings here, they won,'' Ken Griffey Jr., said. </P> "	"nyt_eng_199608.gz"
"68228"	"they"	"won"	" ``The last time we played an extra-inning game here, they won,'' he said, referring to Jim Leyritz's game-winning homer in the 15th inning that decided Game 2 of the division series. </P> "	"nyt_eng_199608.gz"
"79585"	"we"	"won"	" The mood was spirited but not giddy. The giddiness came Wednesday night when an excited Peggy Dickson, too emotional and incoherent for Manuel Valdez's daughter, shouted down the phone line: ``We won, we won, we did it!'' </P> "	"nyt_eng_199611.gz"
"84458"	"he"	"won"	" ``Morally, of course, he won,'' said Miladin Zivotic, who along with Djilas founded a dissident group, the Belgrade Circle. ``He is the greatest figure in our political history, but in the current climate he has no influence. Many of his books are not even translated.'' </P> "	"nyt_eng_199701.gz"
"89878"	"I"	"won"	" That Sunday last April, after walking off the 18th green the winner of the 2000 Masters by three strokes, Singh embraced Niyomkul. ``I can't believe it, Charlie, I won,'' Singh said. Later, he thanked the Niyomkuls from the podium as the golf world looked on. </P> "	"nyt_eng_200104.gz"
"94753"	"he"	"won"	" Thus, using his racket as a shovel, the quick Canas sparkled like the diamond in his left ear. A survivor after nearly losing the fourth set before paying his last respects to Kafelnikov, he won, 3-6, 6-1, 6-3, 7-6 (7-2). </P> "	"nyt_eng_200107.gz"
"111124"	"he"	"won"	" Before we move on, Strange merits further mention. From 1986 through 1989, he won, tied for 13th, won again and placed seventh, shaving 43 strokes off par during those four early TPC tournaments, a patch of golfing mastery even Vijay can't top, no matter how much magic is left in his bag. </P> "	"nyt_eng_200203.gz"
"117184"	"he"	"won"	" D'Amato agreed that fences have been mended. ``He ran, he won, and I give him all the credit in the world,'' D'Amato said of Schumer. ``I bear nothing but the highest of thoughts for him and Senator Clinton. I want them to be successful. </P> "	"nyt_eng_200206.gz"
"117934"	"we"	"won"	" ``At the end of the day, though, we won,'' midfielder Joahan Rodriguez said. ``Football is like that sometimes.'' </P> "	"nyt_eng_200206.gz"
