"pronoun"	"verb"	"context"	"filename"
"1078"	"I"	"wonder"	" ``I've had to think about which things are worth recording from my trip,'' he said. ``When I'm finished with all this in 10 or 15 years, I wonder, will I have left enough paintings and will I have told the story?'' </P> "	"nyt_eng_199407.gz"
"2459"	"you"	"wonder"	" She doesn't know what age group the book is for. ``Parents always ask and I tell them I don't know,'' she says. ``Then they always tell me their child is very smart. I never met anyone who didn't have a very smart child. What happens to these children, you wonder, when they reach adulthood?'' </P> "	"nyt_eng_199408.gz"
"3361"	"I"	"wonder"	" ``I used to be paranoid about it two years ago, but I don't walk in fear all the time anymore,'' Lindgren said. ``But when I take a self-exam, I get a little nervous. If I get a cough, I wonder, `Hey, am I OK?' It's something I'll always have to live with.'' </P> "	"nyt_eng_199408.gz"
"3560"	"we"	"wonder"	" Who in the world is going to wear those ridiculous monsters, we wonder, hoping it isn't us but suspecting the worst. After all, we've all occasionally succumbed to the fashionably insane. Still, those of us who first entered adulthood wearing precarious heels of similar style were so relieved finally to push the 3-inchers out of sight that I doubt we'll be tempted by those towering now at 4 inches. And the next generation? They grew up an era of flats, athletic shoes, Keds and a variety of boots, some ugly, all comfortable. Surely, they won't stand for the pain, will they? I'm afraid I know that answer, too. </P> "	"nyt_eng_199408.gz"
"4297"	"I"	"wonder"	" But are they watching tennis, I wonder, or are they watching Andre Agassi? </P> "	"nyt_eng_199409.gz"
"5105"	"I"	"wonder"	" And what if, I wonder, I was forced to pay child support that I felt was unfair? When we divorced, my former wife and I agreed -- without a court order -- on an amount for monthly support from me. Since then, I've voluntarily increased that amount as my income grew. Between our two incomes, we've managed to take care of most of our son's needs. </P> "	"nyt_eng_199409.gz"
"9966"	"I"	"wonder"	" Many third-car passengers spent months in group counseling, and those encounters led to new alliances. Seven commuters who attended six months of therapy in Garden City continue to find solace in the meandering conversation of monthly dinner meetings. ``It's comforting when someone is feeling the same thing,'' said Tina Franzese, 31, an administrative manager for the Seagram Co. ``Like the others, I still have paranoia. Even walking to the train station, I wonder, ``Who's walking behind me? Who's in that car back there?' '' </P> "	"nyt_eng_199412.gz"
"10376"	"you"	"wonder"	" ``It's so difficult,'' she said. ``I get dozens of requests a day to perform at benefits. The good thing is that there's all those people out there doing work for these causes, but I don't have the time or the energy. You end up saying no all the time, and with the ones you say yes to, you wonder, `Is that enough?' '' </P> "	"nyt_eng_199412.gz"
"13504"	"you"	"wonder"	" So, you wonder, how anybody can claim to be poor when their teams are worth at least $130 million each. Good question. We don't know, either. </P> "	"nyt_eng_199501.gz"
"14985"	"I"	"wonder"	" ``We have goods in the shops now and the ability to buy new computers. You can take vacations in Europe and buy color televisions. But who are those things for, I wonder, if we have a life expectancy of 55 in this country? We are dying at a rate that is almost impossible to describe. To me that is the most important fact about the possibilities of the New Russia.'' </P> "	"nyt_eng_199502.gz"
"15338"	"I"	"wonder"	" Regarding Davis Cup, I never see nationalism as much as I see sexism. Why is it, I wonder, no one ever asks who's playing Federation Cup, which is the women's Davis Cup? What makes the men's version of international tennis competition so consequential, such a test of one's national pride? </P> "	"nyt_eng_199502.gz"
"26724"	"I"	"wonder"	" Having spent a lifetime in the law, writing largely at night and on the weekends, Mortimer naturally has a few modest proposals to offer. Rather surprisingly, he's a champagne socialist, and at all times reflects a hearty loathing for Margaret Thatcher and her illegitimate progeny in the long-lost colonies: ``It seems to me that what we fear most are the criminal tendencies in ourselves. We are terrified, no doubt with good cause, of our baser instincts. Fear leads to a passionate belief in the righteousness of punishment . . . How much, I wonder, are our bursting prisons due to our own irremovable feelings of guilt?'' </P> "	"nyt_eng_199506.gz"
"28419"	"you"	"wonder"	" That day the surrender documents were laid out on a Navy mess table covered with green cloth. Overhead was the flag that had flown over the U.S. Capitol on Dec. 7, 1941, during the Japanese attack on Pearl Harbor. Assorted brass, including MacArthur, Halsey, Fleet Admiral Chester Nimitz and the Japanese foreign minister, gathered on the starboard deck in an area the size of a dance floor. How, you wonder, did they all fit? </P> "	"nyt_eng_199507.gz"
"28624"	"they"	"wonder"	" Family and friends were overjoyed that Barron was arrested Monday, but that elation is quickly fading into a litany of troubling questions. Why, they wonder, wasn't Irene Barron's death investigated more thoroughly? Authorities have only just recently decided that she was asphyxiated, a determination some think could have prevented three more deaths had it been made in 1992. </P> "	"nyt_eng_199507.gz"
