"pronoun"	"verb"	"context"	"filename"
"656"	"it"	"worked"	" ``Well, it worked,'' her mother replies. </P> "	"nyt_eng_199407.gz"
"939"	"it"	"worked"	" ``Well, it worked, didn't it?'' she rejoined. </P> "	"nyt_eng_199407.gz"
"12254"	"it"	"worked"	" To some degree, it worked, as firefighters started to gain control of the blaze on the main floor. Shoemaker, one of the four who would perish inside, even came out to retrieve a fresh oxygen tank. </P> "	"nyt_eng_199501.gz"
"40140"	"it"	"worked"	" In that sense, it worked, Symington said. </P> "	"nyt_eng_199511.gz"
"51771"	"it"	"worked"	" The objective was to promote a national grass-roots demonstration of environmental concern big enough to shake up the political establishment. Magically, it worked, thanks to the spontaneous and spectacular response of some 20 million concerned Americans. </P> "	"nyt_eng_199603.gz"
"52506"	"it"	"worked"	" The objective was to promote a national grass-roots demonstration of environmental concern big enough to shake up the political establishment. Magically, it worked, thanks to the spontaneous and spectacular response of some 20 million concerned Americans. </P> "	"nyt_eng_199603.gz"
"53072"	"it"	"worked"	" But ugly or not, it worked, as did many other things the Minutemen tried that evening. The win _ and others like it _ served as a confidence-builder for a team that struggled in the preseason. ``Those tough games early in the year helped us for tournament play,'' said UMass forward Dana Dingle. ``They especially helped us for teams like (East Regional final foe) Georgetown, tough tournament teams.'' </P> </TEXT> </DOC> <DOC id=NYT_ENG_19960325.0028 type=story > <HEADLINE> STAFF GRABBING SITUATION IN BULLPEN BY THE HORNS </HEADLINE> <DATELINE> FORT LAUDERDALE, Fla. (BC-BBA-RED SOX-PITCHING-BOS) </DATELINE> <TEXT> "	"nyt_eng_199603.gz"
"53581"	"it"	"worked"	" The objective was to promote a national grass-roots demonstration of environmental concern big enough to shake up the political establishment. Magically, it worked, thanks to the spontaneous and spectacular response of some 20 million concerned Americans. </P> "	"nyt_eng_199603.gz"
"53984"	"it"	"worked"	" The objective was to promote a national grass-roots demonstration of environmental concern big enough to shake up the political establishment. Magically, it worked, thanks to the spontaneous and spectacular response of some 20 million concerned Americans. </P> "	"nyt_eng_199604.gz"
"54411"	"it"	"worked"	" The objective was to promote a national grass-roots demonstration of environmental concern big enough to shake up the political establishment. Magically, it worked, thanks to the spontaneous and spectacular response of some 20 million concerned Americans. </P> "	"nyt_eng_199604.gz"
"54556"	"it"	"worked"	" ``Whatever we tried to makeshift, it worked,'' said manager Dusty Baker, who's considering using the same lineup tonight in Houston against the Astros, with one exception _ right-handed hitter David McCarty probably will start at first for Phillips. </P> "	"nyt_eng_199604.gz"
"54557"	"it"	"worked"	" ``Whatever we tried to makeshift, it worked,'' said manager Dusty Baker, who's considering using the same lineup tonight in Houston against the Astros, with one exception _ right-handed hitter David McCarty probably will start at first for Phillips. </P> "	"nyt_eng_199604.gz"
"54616"	"it"	"worked"	" The objective was to promote a national grass-roots demonstration of environmental concern big enough to shake up the political establishment. Magically, it worked, thanks to the spontaneous and spectacular response of some 20 million concerned Americans. </P> "	"nyt_eng_199604.gz"
"54633"	"it"	"worked"	" Eventually the Windows 95 desktop appeared; it is sort of like a Macintosh desktop, only upside down and backwards. But first, the Windows Solitaire test. Yes, it worked, and it was fairly snappy. </P> "	"nyt_eng_199604.gz"
"54716"	"it"	"worked"	" Eventually the Windows 95 desktop appeared; it is sort of like a Macintosh desktop, only upside down and backwards. But first, the Windows Solitaire test. Yes, it worked, and it was fairly snappy. </P> "	"nyt_eng_199604.gz"
"54860"	"it"	"worked"	" Eventually the Windows 95 desktop appeared; it is sort of like a Macintosh desktop, only upside down and backwards. But first, the Windows Solitaire test. Yes, it worked, and it was fairly snappy. </P> "	"nyt_eng_199604.gz"
