"pronoun"	"verb"	"context"	"filename"
"42267"	"she"	"worried"	" If the killing takes on broad political overtones, she worried, ``it could get really messy.'' </P> "	"nyt_eng_199512.gz"
"45115"	"they"	"worried"	" Market watchers have speculated since early December that a sharp drop in technology stocks was being worsened by heavy selling from Magellan and other Fidelity funds. And such a drop, they worried, could cause the entire market to come crashing down. </P> "	"nyt_eng_199601.gz"
"56224"	"they"	"worried"	" Palmer's injury was ghastly enough that the Rangers re-signed Mike Pagliarulo during the off-season as third-base insurance. Palmer, they worried, was one more vicious swing from reaggravating the injury. </P> "	"nyt_eng_199604.gz"
"65397"	"he"	"worried"	" And the mutual fund boom, he worried, ``has become speculative.'' Now, ``It's not middle-aged people saving for retirement, it's people trying to make a fast buck.'' </P> "	"nyt_eng_199607.gz"
"70981"	"he"	"worried"	" The problem, he worried, is that it's in short supply. </P> "	"nyt_eng_199609.gz"
"71092"	"he"	"worried"	" The problem, he worried, is that it's in short supply. </P> "	"nyt_eng_199609.gz"
"77027"	"they"	"worried"	" The directors took a calculated risk in 1992, selling their old building to a real estate developer who offered $25 million, even though it would make their collection homeless until the new structure was complete. Waiting to raise all of the $70 million they needed to get the museum built, they worried, might consign the project to a slow death by bureaucratic delay or a shift in some political calculus. </P> "	"nyt_eng_199611.gz"
"100544"	"he"	"worried"	" Like other leftists, Odenheimer was shocked to discover that Arafat insisted upon a ``right of return'' for Palestinian refugees of the many wars here. The Israelis offered the Palestinians their own state; why would they still demand a right to live in Israel, he worried, unless they wanted to achieve through demography what they could not gain through force of arms? Could it be that the Palestinians still did not accept Israel's existence? </P> "	"nyt_eng_200111.gz"
"102812"	"they"	"worried"	" In many cases, the companies and their investors felt they had little choice but to chase the dream. If they failed to grow, they worried, shareholders would accuse them of failing to catch one of the great waves of U.S. capitalism. </P> "	"nyt_eng_200112.gz"
"119704"	"they"	"worried"	" Too much negative information, they worried, would scare women away. Tougher rules might drive off clinics and radiologists, limiting access to the well-off or well-connected. That is why federal regulators did not simply sidestep the doctors; the rules for X-ray machines and images were conceived as minimum standards within reach of clinics everywhere. </P> "	"nyt_eng_200206.gz"
"119726"	"they"	"worried"	" Too much negative information, they worried, would scare women away. Tougher rules might drive off clinics and radiologists, limiting access to the well-off or well-connected. That is why federal regulators did not simply sidestep the doctors; the rules for X-ray machines and images were conceived as minimum standards within reach of clinics everywhere. </P> "	"nyt_eng_200206.gz"
"119747"	"they"	"worried"	" Too much negative information, they worried, would scare women away. Tougher rules might drive off clinics and radiologists, limiting access to the well-off or well-connected. That is why federal regulators did not simply sidestep the doctors; the rules for X-ray machines and images were conceived as minimum standards within reach of clinics everywhere. </P> "	"nyt_eng_200206.gz"
"144686"	"he"	"worried"	" In the last two decades of his life, Geisel's second wife, Audrey, relates in the film, he worried, Am I getting too preachy? Evidently he wasn't, because his books continued to be best sellers. </P> "	"nyt_eng_200410.gz"
"159234"	"he"	"worried"	" Julia told the doctors that Phyllis was in a lot of pain and receiving little pain medication. But the patient was quiet while the doctors were on hand, and attending physician Ed Bittner was focused on avoiding the need for a breathing tube for the frail woman. If Phyllis were too sedated, he worried, it might weaken her will to breathe. </P> "	"nyt_eng_200510.gz"
"171416"	"they"	"worried"	" The surging costs, they worried, could threaten ambitious plans to grow their San Francisco Soup Co. retail and wholesale business. </P> "	"nyt_eng_200609.gz"
