"pronoun"	"verb"	"context"	"filename"
"20952"	"they"	"worry"	" But now astronomers are wondering how they should go about communicating accurately to the public just how much _ or how little _ danger each newly-discovered asteroid might pose. Because accurately determining those objects' exact orbits could take years, they worry, people could become unduly alarmed if early predictions suggested a collision were possible but did not clearly explain the odds of its happening. </P> "	"nyt_eng_199505.gz"
"21985"	"they"	"worry"	" ``Some consider them negative feedback and get very frustrated. When this happens, they worry, get nervous and make mistakes.'' </P> "	"nyt_eng_199505.gz"
"30134"	"they"	"worry"	" Traders were also awaiting the release of today's U.S. employment report. A strong number, they worry, might prompt investors to flock to U.S. equities, prompting a further rise the dollar. </P> "	"nyt_eng_199508.gz"
"60169"	"they"	"worry"	" A guilty verdict for any of the defendants, they worry, could start the president's poll numbers heading south again and provide an opening for Clinton's Republican challenger, Sen. Bob Dole of Kansas. </P> "	"nyt_eng_199605.gz"
"60237"	"they"	"worry"	" A guilty verdict for any of the defendants, they worry, could start the president's poll numbers heading south again and provide an opening for Clinton's Republican challenger, Sen. Bob Dole of Kansas. </P> "	"nyt_eng_199605.gz"
"71082"	"you"	"worry"	" ``When people started talking about playoffs and that the race was over, I felt very uncomfortable,'' Torre said after Wednesday night's 7-3 victory over the Tigers. ``It's hard playing with a big lead, you worry, you try to protect it. </P> "	"nyt_eng_199609.gz"
"94442"	"they"	"worry"	" But one faction of Fed members fear the cuts already have gone too far. If interest rates drop too quickly, they worry, businesses might start to expand rapidly. That could cause worker and inventory shortages that would fire up wage and price inflation. </P> "	"nyt_eng_200106.gz"
"94443"	"they"	"worry"	" But one faction of Fed members fear the cuts already have gone too far. If interest rates drop too quickly, they worry, businesses might start to expand rapidly. That could cause worker and inventory shortages that would fire up wage and price inflation. </P> "	"nyt_eng_200106.gz"
"120824"	"they"	"worry"	" On a recent weeknight in the parish hall, the communal pride was palpable as parishioners and their children watched a slide show of parish youngsters working on such volunteer projects last summer. The ethic that St. Gerard's adults are trying to instill is one of social responsibility, and that, they worry, could be jeopardized by the current crisis. </P> "	"nyt_eng_200207.gz"
"124712"	"I"	"worry"	" ``He's in a high-risk position, but I think he will be safe,'' she said. ``Sure, I worry, but I think he will be safe.'' </P> "	"nyt_eng_200209.gz"
"125701"	"they"	"worry"	" Privately, Saudi officials said they are alarmed by the Bush team's military strutting, and think it would have been much better to get rid of Saddam with a covert operation. They agree with the president that Saddam is a monster who not only eliminates his enemies, real and perceived, but also their wives, children and friends. But if he has nothing to lose, they worry, he might fire his chemical and biological weapons at the Saudis or the Israelis or give them to terrorists to use on the United States. </P> "	"nyt_eng_200209.gz"
"125721"	"they"	"worry"	" Privately, Saudi officials said they are alarmed by the Bush team's military strutting, and think it would have been much better to get rid of Saddam with a covert operation. They agree with the president that Saddam is a monster who not only eliminates his enemies, real and perceived, but also their wives, children and friends. But if he has nothing to lose, they worry, he might fire his chemical and biological weapons at the Saudis or the Israelis or give them to terrorists to use on the United States. </P> "	"nyt_eng_200209.gz"
"133472"	"I"	"worry"	" Jon has other terrorism-related scams going: ``anthrax-proof'' basement sealant; made-in-Albania gas masks, used by East German border guards in the 1960s; ``Saddam Who's Insane'' posters _ he's a regular Steve Jobs. Look, somebody might as well profit from the war hysteria, besides Raytheon, Lockheed Martin, and Bush's oil patch pals, that is.)  Well, you probably guessed it. Jon Jr. answered his country's call. Of course, I worry, but still, I'm so proud to have a boy in uniform! We're not supposed to say exactly where, but he's ``forward-based'' in a country that rhymes with beef jerky. Watch your back, Saddam: I've got a feeling that Jon Jr. and the men and women serving with him will prove to be the Greatest Generation _ ever! </P> "	"nyt_eng_200212.gz"
"138199"	"they"	"worry"	" That is not a consensus view here. Many soldiers fear a larger troop commitment would mean a deeper U.S. commitment and even longer grueling rotations away from home. Or, they worry, it would simply provide more targets for insurgents. </P> "	"nyt_eng_200308.gz"
"140111"	"they"	"worry"	" Some doctors and researchers also questioned the effect the new recommendations might have on patients. Publicity about the benefits of lowering cholesterol through statin treatment, they worry, may lead people to think that even those at low risk for heart disease should take the drugs, despite the fact that clinical trials have not yet demonstrated any benefits for such people. In addition, some researchers fear that the findings could lead doctors and patients to ignore the fundamental importance of lifestyle factors, like diet and exercise, to cardiovascular health. </P> "	"nyt_eng_200407.gz"
"146547"	"you"	"worry"	" You wonder, you worry, your stomach churns. </P> "	"nyt_eng_200412.gz"
"147533"	"I"	"worry"	" I'm not sure she's ready, and when I see the news, I worry, says Hobson's mother, Orisa Abraham. But it's her chance, and maybe the only way she could go to college. </P> "	"nyt_eng_200501.gz"
"165284"	"they"	"worry"	" Others wonder what exactly Green did wrong, other than embarrass some executives. The punishment, they worry, is disproportionate to the offense. News organizations, more than any other segment in society, they argue, should be wary about inhibiting the speech of their employees. The resulting second-guessing, the screening of one's jokes, jibes and commentary, could have a chilling effect, they say. </P> "	"nyt_eng_200604.gz"
