"pronoun"	"verb"	"context"	"filename"
"330"	"I"	"would"	" ``Yes, I would,'' she said, laughing out loud. ``This IS my tooth ... Well, not really a tooth. It's part of a temporary crown that cracked. </P> "	"nyt_eng_199407.gz"
"343"	"I"	"would"	" ``If I knew how to get them all over here, I would,'' said Slade. ``I strongly feel that what they're doing is asking for help.'' </P> </TEXT> </DOC> <DOC id=NYT_ENG_19940707.0145 type=multi > <DATELINE> CLINTON-EUROPE (Warsaw)  (AM-PAGE1-CONSIDER-NYT) </DATELINE> <TEXT> Roundup: President Clinton offered a message of reassurance to this capital in the heart of Central Europe on Thursday, with words, gestures and a token gift of aid intended to display his hope that all of Europe might soon be knit with economic and security ties. By Douglas Jehl.   SUMMIT-ASSESS (Naples) -- News Analysis: A look at the economic issues to come up at the Group of Seven summit talks. By Thomas L. Friedman.   SUMMIT-POLITICS (Naples) -- The politics of the summit meeting; all the leaders are suffering from political problems, with possible exception of Kohl; a host of political issues tend to rival or overshadow the economic agenda. By R.W. Apple Jr.   HEALTH-GAP (Washington) -- President Clinton's goal of health insurance for all Americans is often described as a moral imperative or a political objective, but it is also a pocketbook issue. In general, the government can reduce the number of uninsured by buying or subsidizing their insurance. In trying to achieve universal health insurance coverage, President Clinton and Congress will have to confront an unpleasant choice in the next few weeks. By Robert Pear.   SIMPSON-HEARING (Los Angeles) -- The judge in the O.J. Simpson case ruled Thursday that evidence recovered without a search warrant at Simpson's home hours after his former wife and a friend of hers were found stabbed to death could be used against him. By Michael Janofsky.   WILDFIRES (Glenwood Springs, Colo.) -- A forest fire whipped by high wind roared over a steep mountainside, trapping 52 firefighters and killing 13. One firefighter was missing Thursday in one of the nation's deadliest wildfire disasters. By Timothy Egan.   GEORGIA-FLOODS (Americus, Ga.) -- Marauding flood waters continued to march across Georgia on Thursday, knocking out at least 100 earthen dams, leaving at least 17 dead, several cities under water and cutting off much of the state's transportation system. By Peter Applebome.   With GEORGIA-STORM.   ORGAN-DONOR-LAW (Undated) -- Under a federal law sponsored by a young Tennessee congressman named Al Gore, it is illegal to buy or sell human organs. That means that the families of organ donors, many of whom lack the money to cover funeral expenses, are never paid. But everyone else involved in organ and tissue transplants is -- and handsomely. Some legal scholars and doctors are trying to redress this situation, and they are now racking up legal victories as state and federal courts decide who owns the human body. 36''  </TEXT> </DOC> <DOC id=NYT_ENG_19940707.0155 type=story > <HEADLINE> DEADLY INFERNO STILL RAGES AS ITS MANAGEMENT IS QUESTIONED </HEADLINE> <DATELINE> GLENWOOD SPRINGS, Colo.  (BC-COLORADO-FIRE-COX) </DATELINE> <TEXT> "	"nyt_eng_199407.gz"
"673"	"we"	"would"	" QVC officials said their board would consider Comcast's offer at its meeting Wednesday. Diller did not return telephone calls Tuesday night, but QVC released a statement that quoted him as saying, ``All the ironies aside, I said at the outset that if someone wanted to bid for QVC, we would, of course, deal with it, and we will, with the only consideration being the best consideration of the QVC shareholder.'' </P> "	"nyt_eng_199407.gz"
"774"	"he"	"would"	" ``He told us when the water came, he would, if he had to, take them up on the roof with him,'' Crisp said. ``He was really happy when he learned we would shelter them. </P> "	"nyt_eng_199407.gz"
"967"	"we"	"would"	" ``If we could do it (the clean-up) any other way, we would,'' Vetsch said. ``But after eight years of dealing with it, I don't see any other way.'' </P> "	"nyt_eng_199407.gz"
"1738"	"it"	"would"	" ``If we want to make it that way, it would,'' Peterson said. ] </P> </TEXT> </DOC> <DOC id=NYT_ENG_19940729.0384 type=story > <HEADLINE> LAKERS FADING AND OTHER THOUGHTS... </HEADLINE> <DATELINE>  (BC-BKN-COLUMN-VENTRE-LADN) </DATELINE> <TEXT> "	"nyt_eng_199407.gz"
"3095"	"I"	"would"	" ``If I could vote again for Salinas, I would,'' he said. ``Even though I'm one of the victims of the free trade agreement, the economic situation needed the boost.'' </P> "	"nyt_eng_199408.gz"
"3262"	"it"	"would"	" Hang on, here's where things get complicated. Gibson theorized, ``If it had been read, it would, in effect, have been destroyed. So at the point of transfer to another owner, the other owner would have requested proof of its not having been read. And at that point the first owner would realize that the only way to prove it hadn't been read, was to read it. Which would, in effect, destroy it. </P> "	"nyt_eng_199408.gz"
"3288"	"he"	"would"	" He became a natural foods distributor and has appeared on radio shows and before youth groups to discuss steroid addiction. ``If he could talk every night, he would,'' said Orlando television reporter Greg Warmoth, who did stories on Gioiosa. </P> "	"nyt_eng_199408.gz"
"3357"	"it"	"would"	" Lindstrom-Foster smiled. ``Yes, it would,'' she said. </P> "	"nyt_eng_199408.gz"
