"pronoun"	"verb"	"context"	"filename"
"34298"	"you"	"wouldn't"	" I thanked her but told her I'd rather sing. ``No, you wouldn't, dear,'' she said firmly, ``you'd rather play.'' </P> "	"nyt_eng_199509.gz"
"36363"	"you"	"wouldn't"	" ``If a stranger came up to you in a store, while mama or daddy were busy, and asked you to go away with him, you wouldn't, right? Even if he said he had a surprise?'' </P> "	"nyt_eng_199510.gz"
"58052"	"she"	"wouldn't"	" If she could take 20 years off her age, she wouldn't, Weisman said. </P> "	"nyt_eng_199605.gz"
"58104"	"she"	"wouldn't"	" If she could take 20 years off her age, she wouldn't, Weisman said. </P> "	"nyt_eng_199605.gz"
"72877"	"I"	"wouldn't"	" ``You can't build on black dirt, I wouldn't,'' said Robert Dagele. ``It's got a very soft bottom and some of it goes down 60 feet deep. It's swamp land that's been drained is what it really is. It can grow onions. You can't really do much else with it that can make money.'' </P> </TEXT> </DOC> <DOC id=NYT_ENG_19960928.0166 type=story > <HEADLINE> WITH ASTHMA RISING, EXPANDED HEALTH SESSIONS FOR PUPILS, PARENTS </HEADLINE> <DATELINE> NEW YORK (BC-NY-SCHOOLS-ASTHMA-2TAKES-NYT) </DATELINE> <TEXT> "	"nyt_eng_199609.gz"
"74851"	"it"	"wouldn't"	" ``Oh, no, it wouldn't,'' says Ron Cardoos. ``Large portions of food are still popular.'' </P> "	"nyt_eng_199610.gz"
"74932"	"it"	"wouldn't"	" ``Oh, no, it wouldn't,'' says Ron Cardoos. ``Large portions of food are still popular.'' </P> "	"nyt_eng_199610.gz"
"98383"	"they"	"wouldn't"	" So how does he handle this job? ``People say I have this calm manner and reassuring presence, but if there was a camera inside, they wouldn't,'' McCann said. ``You feel the stress, but it makes it more challenging, more interesting.'' </P> "	"nyt_eng_200110.gz"
"98384"	"they"	"wouldn't"	" So how does he handle this job? ``People say I have this calm manner and reassuring presence, but if there was a camera inside, they wouldn't,'' McCann said. ``You feel the stress, but it makes it more challenging, more interesting.'' </P> "	"nyt_eng_200110.gz"
"108374"	"I"	"wouldn't"	" ``If I had to vote for it again, I wouldn't,'' Bibby said. </P> "	"nyt_eng_200203.gz"
"142023"	"I"	"wouldn't"	" I'm not going to say that this takes away everybody's pain. Even if I could do that, I wouldn't, because it's not a reasonable goal. If people are sad, you want to let them be sad, said the Rev. Paul R. Soper, administrator of St. Alphonsus parish, which straddles the Beverly-Danvers line. But this helps people feel that, in a sense, the spirit of St. Alphonsus parish is continuing in a place where the need is continuing. </P> "	"nyt_eng_200408.gz"
"157213"	"they"	"wouldn't"	" They said they'd help people find hotel rooms elsewhere, or places in shelters. And if somebody had no money, no gas and no place to go, they wouldn't, in the words of Stephanie Livermore, the manager giving people the word, kick them to the curb. </P> "	"nyt_eng_200508.gz"
"169260"	"I"	"wouldn't"	" If I never had to fly again, I wouldn't, said Barry Bowman of Denver, waiting at the San Jose airport for a flight home. This is turning into the Greyhound of the skies. </P> "	"nyt_eng_200608.gz"
