"pronoun"	"verb"	"context"	"filename"
"711"	"I"	"write"	" Ms. Carter doesn't really live at the farm, she plays there. ``I come up here, I write, I move the furniture around, I find myself,'' she said. Although she ``respects true collectors who see junking as a way of investing,'' she said she was not interested in the payoff. </P> "	"nyt_eng_199407.gz"
"6907"	"they"	"write"	" There are many questions that remain to be answered, they write, not only the exact location of the gene itself but what fraction of gay and heterosexual men in the population carry it, what its different effects might be, what other genes and nongenetic factors influence sexual orientation, and what roles those factors might play. </P> "	"nyt_eng_199410.gz"
"7512"	"they"	"write"	" Lander and Budowle say in their paper that either method is likely to yield numbers that are overwhelmingly convincing to a jury. Recent improvement in DNA analysis, and increases in the number of genetic areas being compared, mean that now, in a typical case calculated even by the ceiling principle, odds that a suspect's DNA fingerprints are the same as those of another individual could be as low as 1 in 6.25 million, the authors say. And in the best of all circumstances, they write, those odds could go to 1 in 15 billion. </P> "	"nyt_eng_199410.gz"
"11133"	"we"	"write"	" Every day we commit the crimes for which Tibetans have been made captive, tortured and murdered and for which their nation has been sundered and occupied. We talk, we write, we act, we think, we pray. </P> "	"nyt_eng_199412.gz"
"12886"	"they"	"write"	" Without the exemption, they write, the union could challenge the salary cap on antitrust grounds. ``A positive outcome of such a challenge,'' they write, ``could result in the imposition of treble damages.'' </P> "	"nyt_eng_199501.gz"
"12888"	"they"	"write"	" Zimmerman and Cox, however, say there are ways the economic onus would not have to fall so harshly on the players. For example, they write, the owners' concerns about the effect on competitive balance of the disparity between payrolls of high-revenue and low-revenue clubs could be met by diluting the revenues of the wealthier teams. </P> "	"nyt_eng_199501.gz"
"22498"	"they"	"write"	" The study also found that women discharged within the previous year were twice as likely to have been victims of sexual harassment, rape or attempted rape as women discharged a decade earlier, said the authors, Dr. Maureen Murdoch and Dr. Kristin L. Nichol. Harassment may have increased, they write, because more women have entered traditionally male jobs in the military and increasingly report to men and work alongside them. </P> "	"nyt_eng_199505.gz"
"23958"	"they"	"write"	" The authors also overcook regional trinities. ``Myth, reality and consanguinity are the three poles of the trinity holding up the South,'' they say at one point. Later, they write, ``The trinity of the New South _ the Good Old Boy, the Seersucker Demagogue, and the Jerkleg Preacher _ began to rule like latter-day Caesars.'' Still later, they say of the Gulf Coast beachfronts, ``the true trinity of the South _ bad booze, bad women, and the law _ held sway here with a life force beyond the ken of the Bible Belt.'' </P> "	"nyt_eng_199506.gz"
"34576"	"they"	"write"	" Being an American, they write, can sometimes be ``politically incorrect'' in parts of Algeria, Israel and its Occupied Territories, Turkey, India and Sri Lanka. </P> "	"nyt_eng_199509.gz"
"43876"	"they"	"write"	" Nine West Group Inc., Stamford, Conn., said Richard White, its chief financial officer, will step down during the company's first quarter, which ends on Feb. 2. Robert Galvin, the senior vice president for strategic planning, was named to succeed him. </P> </TEXT> </DOC> <DOC id=NYT_ENG_19951228.0401 type=multi > <DATELINE>  (BC-LEAH-PERSONALS-SFCHRON) </DATELINE> <TEXT> (Eds: This story also moved in the ``a'' national news file) By LEAH GARCHIK c.1995 San Francisco Chronicle  A HOLIDAY CORRESPONDENCE COURSE  The presents sat quietly under the tree, and the greeting cards stood nicely on the mantle, nestling cozily against each other when space became short. Then there were the Christmas letters.  Most of them were Xeroxes that had been folded and tucked into the greeting cards. They were too large to tack to the refrigerator door and too floppy to stand on their own. And they were too impersonal to take personally and too personal to toss away.  You saved them, didn't you? Because they had been dispatched with love and friendship, sealed with warm memories of good times past. What's more, you could laugh at them behind your friends' backs.  The following examples were culled from real letters. All of the names have been changed to Tom and Marcia and the Jones and Smith families; all of the places have been changed to Terre Haute, Ind.  _ A letter that begins ``It's been one of our best years ever'' ends with the following postscript (complete as quoted):  ``Update: We're off to Terre Haute on December 7 for 4 1/2 days. Tom is taking all three of us: free tickets! Exciting! He's divorced from Marcia now. She left him.''  _ ``We welcomed 1995 with a lot of wonderful moisture'' begins a letter from Marcia Jones, which goes on to describe a year of jolly jamborees with revelers linked by similar DNA.  There was the Smith Family Reunion (``we had a good visit with family''); Pa Tom and Ma Marcia's 61st anniversary; the Jones Family Reunion; Marcia and Tom Jones' wedding; Aunt Marcia and Uncle Tom's 50th wedding anniversary; helping Uncle Tom on the farm; and a Thanksgiving reunion with the Smith family.  ``I came down with the flu,'' writes Marcia of this last family event, ``so I didn't go.'' Yeah, and the dog ate her homework.  _ ``Tom's gecko had her first birthday,'' says a letter from a journalist who boasts at the end that he's been able to keep his letter short because he knows ``how to edit out any useless information.''  _ A letter from one family matriarch showers an almost-30-year-old daughter with public praise (``She's lost an enormous amount of weight'') and analyzes the loving relationship between the writer and her retired husband (``This fall he completely remodeled our guest bathroom ... so that kept him out of trouble. ... I try to keep Tom busy and happy'').  _ ``Starting in January,'' another letter begins, ``Tom drove to the city and then he drove home. He drove to the city and then he drove home. Then he drove to the city and then he drove home.'' The rest of a single-spaced page is filled with repetitions of these last two sentences.  _ ``Marcia's sophomore year has been a joyous one so far,'' writes Marcia's mother. ``Lots of work, but lots of enjoyment. Best of all, she is a true joy to be around and has developed her own strong spiritual life.'' Marcia's mother probably hasn't yet seen the snake tattooed around her daughter's navel. ``Like her brother, she is an excellent student and is active in all kinds of campus activities.''  _ Have they already handed out this year's MacArthurs? ``My life seems to revolve around skiing and go-karting these days,'' writes a man of the mountains.  _ The Jones family apologizes for the uniformity of its Christmas message. It's not that we don't absolutely love everyone who receives this, they write, but we ``figure you would prefer this letter as opposed to no letter.'' Hmm.  BUYING THE RIGHT STUFF  The grand old Manhattan branch of Brooks Brothers recently had an after-hours sale for graduates of Ivy League schools only. Notice of the sale was distributed through the alumni clubs of the applicable institutions, says New York magazine.  Said a notice to the members of the Cornell Club, signed by the club's Karl Reitman: ``This invitation is a privilege afforded to the Ivy Club members who have invested a great deal in becoming a member of their particular club _ and nobody else. I repeat, this invitation is a privilege. Other parties are not welcome.''  AN OTHER WOMAN'S DREAMS  Friends of Camilla Parker Bowles told the London Daily Express that she wants Prince Charles to make an honest woman of her, and after the wedding, she wouldn't mind answering to Her Royal Highness. ``She is not prepared to be his mistress forever,'' said the newspaper.  ``Camilla has convinced herself,'' said one friend who didn't want to be identified, ``that ultimate marriage was part of the tacit understanding once she had agreed to restart the affair with Charles. ... After all that has happened, particularly when he admitted their affair on television without her consent, her life has become intolerable.'' </TEXT> </DOC> <DOC id=NYT_ENG_19951228.0402 type=multi > <DATELINE>  (BC-LEAH-PERSONALS-SFCHRON) </DATELINE> <TEXT> (Eds: This story also moved in the ``l'' lifestyle file) By LEAH GARCHIK c.1995 San Francisco Chronicle  A HOLIDAY CORRESPONDENCE COURSE  The presents sat quietly under the tree, and the greeting cards stood nicely on the mantle, nestling cozily against each other when space became short. Then there were the Christmas letters.  Most of them were Xeroxes that had been folded and tucked into the greeting cards. They were too large to tack to the refrigerator door and too floppy to stand on their own. And they were too impersonal to take personally and too personal to toss away.  You saved them, didn't you? Because they had been dispatched with love and friendship, sealed with warm memories of good times past. What's more, you could laugh at them behind your friends' backs.  The following examples were culled from real letters. All of the names have been changed to Tom and Marcia and the Jones and Smith families; all of the places have been changed to Terre Haute, Ind.  _ A letter that begins ``It's been one of our best years ever'' ends with the following postscript (complete as quoted):  ``Update: We're off to Terre Haute on December 7 for 4 1/2 days. Tom is taking all three of us: free tickets! Exciting! He's divorced from Marcia now. She left him.''  _ ``We welcomed 1995 with a lot of wonderful moisture'' begins a letter from Marcia Jones, which goes on to describe a year of jolly jamborees with revelers linked by similar DNA.  There was the Smith Family Reunion (``we had a good visit with family''); Pa Tom and Ma Marcia's 61st anniversary; the Jones Family Reunion; Marcia and Tom Jones' wedding; Aunt Marcia and Uncle Tom's 50th wedding anniversary; helping Uncle Tom on the farm; and a Thanksgiving reunion with the Smith family.  ``I came down with the flu,'' writes Marcia of this last family event, ``so I didn't go.'' Yeah, and the dog ate her homework.  _ ``Tom's gecko had her first birthday,'' says a letter from a journalist who boasts at the end that he's been able to keep his letter short because he knows ``how to edit out any useless information.''  _ A letter from one family matriarch showers an almost-30-year-old daughter with public praise (``She's lost an enormous amount of weight'') and analyzes the loving relationship between the writer and her retired husband (``This fall he completely remodeled our guest bathroom ... so that kept him out of trouble. ... I try to keep Tom busy and happy'').  _ ``Starting in January,'' another letter begins, ``Tom drove to the city and then he drove home. He drove to the city and then he drove home. Then he drove to the city and then he drove home.'' The rest of a single-spaced page is filled with repetitions of these last two sentences.  _ ``Marcia's sophomore year has been a joyous one so far,'' writes Marcia's mother. ``Lots of work, but lots of enjoyment. Best of all, she is a true joy to be around and has developed her own strong spiritual life.'' Marcia's mother probably hasn't yet seen the snake tattooed around her daughter's navel. ``Like her brother, she is an excellent student and is active in all kinds of campus activities.''  _ Have they already handed out this year's MacArthurs? ``My life seems to revolve around skiing and go-karting these days,'' writes a man of the mountains.  _ The Jones family apologizes for the uniformity of its Christmas message. It's not that we don't absolutely love everyone who receives this, they write, but we ``figure you would prefer this letter as opposed to no letter.'' Hmm.  BUYING THE RIGHT STUFF  The grand old Manhattan branch of Brooks Brothers recently had an after-hours sale for graduates of Ivy League schools only. Notice of the sale was distributed through the alumni clubs of the applicable institutions, says New York magazine.  Said a notice to the members of the Cornell Club, signed by the club's Karl Reitman: ``This invitation is a privilege afforded to the Ivy Club members who have invested a great deal in becoming a member of their particular club _ and nobody else. I repeat, this invitation is a privilege. Other parties are not welcome.''  AN OTHER WOMAN'S DREAMS  Friends of Camilla Parker Bowles told the London Daily Express that she wants Prince Charles to make an honest woman of her, and after the wedding, she wouldn't mind answering to Her Royal Highness. ``She is not prepared to be his mistress forever,'' said the newspaper.  ``Camilla has convinced herself,'' said one friend who didn't want to be identified, ``that ultimate marriage was part of the tacit understanding once she had agreed to restart the affair with Charles. ... After all that has happened, particularly when he admitted their affair on television without her consent, her life has become intolerable.'' </TEXT> </DOC> <DOC id=NYT_ENG_19951228.0403 type=multi > <DATELINE>  (BC-LATAM-BRIEFS-BLOOM) </DATELINE> <TEXT> LATIN BUSINESS BRIEFS: STANDARD BRANDS PAINT FILES BANKRUPTCY (For use by New York Times News Service clients) By Nikolai Mamyrin c.1995 Bloomberg Business News  New York, Dec. 28 (Bloomberg) -- Following is a snapshot of today's major business stories in Latin America: Standard Brands Paint Files Bankruptcy  Caracas (Bloomberg) -- Corimon SA said its 55 percent-owned Standard Brands Paint Co. filed for Chapter 11 bankruptcy protection, along with two Standard Brands Paint subsidiaries.  Corimon, the only Venezuelan company listed on the New York Stock Exchange, said that in spite of its efforts to fund Standard Brands, the company was forced to seek protection from its creditors.  Corimon, a maker of paints, coatings and other chemicals, Zbought a 77 percent interest in Standard Brands in May for $18 million. That stake has since been reduced to 55 percent because of the conversion of preferred shares into common stock.  El Segundo, California-based Standard Brands said its inability to meet its operating requirements and other obligations forced the bankruptcy filing, its second in four years. Standard Brands emerged from its first bout with bankruptcy in June 1993.  Caracas (Bloomberg) -- Venezuela plans to sell a regional development bank, part of its remaining shares in the national telephone company and several hotels in the first quarter of 1996, officials from the Venezuelan Investment Fund said.  Officials at the fund, the agency in charge of the sale of state assets, said Banco de Fomento Los Andes will be the first state enterprise to be sold in 1996.  ``Investors will have until Feb. 15 to register for the sale,'' said Fund President Alberto Poletto. ``We hope to have everything finished by March.''  The government holds 99.94 percent of Banfoandes shares. Bidders will be allowed to buy 79.95 percent of the shares in the bank, while the remainder will be sold to the bank's employees.  Buenos Aires (Bloomberg) -- YPF SA and Perez Companc SA, Argentina's two leading oil companies, may be joining forces to build and operate a urea plant.  The two companies would have equal stakes in the venture, YPF said, without adding details.  Recent press reports have said the plant would cost $400 million and produce between 600,000 and 800,000 metric tons of urea annually. Urea, which is produced from natural gas, is used as a fertilizer.  Argentina's consumption of urea is expected to rise to 1 million tons by 2000 from 500,000 at present. The only producer is Perez Companc's PASA unit, which produces 100,000 tons a year. Argentina's Canale Buys Brazil Pasta Maker  Buenos Aires (Bloomberg) -- Canale SA, an Argentine foods company, said it bought 80 percent of Brazilian pasta maker Pastificio Basilar Ltda.  Canale didn't disclose the purchase price of the stake.  Basilar, based in Jaboticabal in Sao Paulo state, has capacity to produce 55,000 metric tons of dry pasta annually. The company controls 6 percent of the total Brazilian market and 31 percent of the market in central-north Sao Paulo and southern Minas Gerais.  Basilar's sales next year are expected to total $35 million, Canale said.  Mexico City (Bloomberg) -- Mexico's Commerce Ministry said it will levy dumping tariffs on cold-rolled sheet manufactured in Germany, Brazil and Venezuela, as well as on steel plate produced in Brazil, Canada and Venezuela.  The government's decision comes after a two-and-a-half-year investigation into allegations that foreign companies were selling cold-rolled sheet and steel plate at below-market prices in Mexico.  German companies selling cold-rolled sheet in Mexico will have to pay a dumping tariff of 185.76 percent, while punitive tariffs on the Brazilian-made product will range from 17.36 percent to 31.57 percent. Venezuelan-made cold-rolled sheet will pay a dumping tariff of 55.75 percent.  Sao Paulo (Bloomberg) -- Brazil lowered tariffs on imported cars to 35 percent from 70 percent for automakers already established in Brazil, the government said.  Foreign automakers with operations in Brazil include Volkswagen AG of Germany, Italy's Fiat SpA, General Motors Corp. and the Ford Motor Co.  The tariff change is part of a policy to establish rules for Brazil's automobile industry through 1999, when production is expected to double to about 2.5 million units a year. Tariffs were raised to 70 percent earlier to spur foreign investment in Brazil, which is expected to produce 1.65 million vehicles in 1995.  Automakers also will be allowed to import up to half their capital goods at tariffs of about 2 percent, the Industry, Commerce and Tourism Ministry said.  Mexico City (Bloomberg) -- Mexico's hard-currency reserves rose 10.3 percent during the week ended Dec. 22 to $16.06 billion from $14.56 billion on Dec. 15, Banco de Mexico said in a report.  The $1.5 billion increase in Mexico's hard-currency reserves came after the central bank received $1.63 billion of the U.S. currency from the International Monetary Fund. Banco de Mexico, the country's central bank, also received $55 million from state-owned companies, mainly the oil giant Petroleos Mexicanos.  At the same time, the central bank used $60 million to redeem dollar-indexed bonds, or tesobonos. It paid back $71 million of its debts with the IMF and sold $56 million to the government, which used the resources to service its foreign debt.  Using an exchange rate of 7.5500 pesos to the dollar, Mexico's hard-currency reserves amounted to 121.22 billion pesos on Dec. 22, up from 113.46 billion a week before. Venezuela to Let Cos Have Overseas Accounts  Caracas (Bloomberg) -- Venezuela said it will allow companies with export earnings to maintain overseas bank accounts in a move to stimulate foreign investment.  The new decree, which was approved yesterday by the government, replaces a previous ruling that required companies with exports to exchange their foreign currency with the Central Bank at the official exchange rate.  To qualify for an overseas account, companies must have fixed assets of at least $50 million, and foreign share ownership of 40 percent, said officials from the finance ministry.  In addition, companies must use 35 percent national goods in their production and must export 40 percent of their goods. </TEXT> </DOC> <DOC id=NYT_ENG_19951228.0404 type=story > <HEADLINE> THE NOISE OF THIS RITUAL IS MUSIC </HEADLINE> <DATELINE> NEW YORK (BC-NY-NEWYEAR'S-MUSIC-6TAKES-NYT) </DATELINE> <TEXT> "	"nyt_eng_199512.gz"
