"pronoun"	"verb"	"context"	"filename"
"1457"	"she"	"writes"	" Then, she writes, she contradicted that assumption nightly with her fourth husband, Ken Burrows, whose delight in reading her escape-marriage and pre-marriage fantasies spiced their life in bed. </P> "	"nyt_eng_199407.gz"
"2033"	"she"	"writes"	" Relying on word of mouth and instinct -- as well as enlisting the help of the National Main Street Center in Washington, a branch of the National Trust for Historic Preservation -- the 51-year-old author sought out Main streets of varying size and historical significance, each one noteworthy, she writes, for its ``vitality, good architecture, community involvement and kindness to strangers.'' </P> "	"nyt_eng_199408.gz"
"2038"	"she"	"writes"	" Relying on word of mouth and instinct -- as well as enlisting the help of the National Main Street Center in Washington, a branch of the National Trust for Historic Preservation -- the 51-year-old author sought out Main streets of varying size and historical significance, each one noteworthy, she writes, for its ``vitality, good architecture, community involvement and kindness to strangers.'' </P> "	"nyt_eng_199408.gz"
"2304"	"he"	"writes"	" Israeli-Jordanian talks on border demarcation, water rights, and economic cooperation will resume on Tuesday in Israel and along the frontier. </P> </TEXT> </DOC> <DOC id=NYT_ENG_19940807.0056 type=multi > <DATELINE>  (BC-LEAH-PERSONALS-SFCHRON) </DATELINE> <TEXT> At a wake a few days before, the funeral home played tapes of Van Cliburn performing, and Mrs. Cliburn was laid out in a bed. ``I don't like caskets,'' said her son. ``I had a bed for my father when he died. . . . I think it's more peaceful and so much nicer.''   Nine hundred people attended Saturday's ceremonies, which featured a choir of 159, an orchestra of 88 and a bagpiper in full regalia filling the Broadway Baptist Church with the sounds of ``Scotland the Grave.''   Radio commentator   ``There was no turning back,'' said Harvey.   Furthermore, Pocket Books has asked   Thomas has been wearing bow ties for more than 30 years, he writes, and they are well-suited to his particular line of business: ``When I'm doing an autopsy,'' he explains, ``a regular tie will fall into the corpse's thoracic cavity.''   -- In Huntington Beach, a surfers' Walk of Fame was dedicated last week with the unveiling of six granite plaques noting the achievements of six honorees.   Among them were   -- A Los Angeles Times poll has found that 4 percent of the people who voted for   ``I took a lot of grief for that (Oscar) show. I had to read reviews that said how dreadfully boring it was. At least they said I looked nice, which was kind of a backhanded compliment: `The show sucked, but she looked nice.' For some reason, people assumed that I was going to be tactless. I have never, ever been tactless on prime-time television. I save that for HBO.''  </TEXT> </DOC> <DOC id=NYT_ENG_19940807.0057 type=multi > <DATELINE>  (BC-LEAH-PERSONALS-SFCHRON) </DATELINE> <TEXT> At a wake a few days before, the funeral home played tapes of Van Cliburn performing, and Mrs. Cliburn was laid out in a bed. ``I don't like caskets,'' said her son. ``I had a bed for my father when he died. . . . I think it's more peaceful and so much nicer.''   Nine hundred people attended Saturday's ceremonies, which featured a choir of 159, an orchestra of 88 and a bagpiper in full regalia filling the Broadway Baptist Church with the sounds of ``Scotland the Grave.''   Radio commentator   ``There was no turning back,'' said Harvey.   Furthermore, Pocket Books has asked   Thomas has been wearing bow ties for more than 30 years, he writes, and they are well-suited to his particular line of business: ``When I'm doing an autopsy,'' he explains, ``a regular tie will fall into the corpse's thoracic cavity.''   -- In Huntington Beach, a surfers' Walk of Fame was dedicated last week with the unveiling of six granite plaques noting the achievements of six honorees.   Among them were   -- A Los Angeles Times poll has found that 4 percent of the people who voted for   ``I took a lot of grief for that (Oscar) show. I had to read reviews that said how dreadfully boring it was. At least they said I looked nice, which was kind of a backhanded compliment: `The show sucked, but she looked nice.' For some reason, people assumed that I was going to be tactless. I have never, ever been tactless on prime-time television. I save that for HBO.''  </TEXT> </DOC> <DOC id=NYT_ENG_19940807.0058 type=story > <HEADLINE> A CHANGE OF SEASONS FOR THE CONTEMPORARY IN ITS NEW HOME </HEADLINE> <DATELINE> LENOX, Mass.  (BC-TANGLEWOOD-FESTIVAL-650&AMP;ADD-NYT) </DATELINE> <TEXT> "	"nyt_eng_199408.gz"
"2940"	"he"	"writes"	" Today, he writes, lectures on music, listens to music -- some jazz, a lot of Gould, which means, he said, ``a lot of Bach.'' He is busy, contentious and alert. </P> "	"nyt_eng_199408.gz"
"2941"	"he"	"writes"	" In 1926, when he entered Harvard, he writes, the college's president still ``begged his board to deal with `a dangerous increase in the proportion of Jews.''' </P> "	"nyt_eng_199408.gz"
"3409"	"he"	"writes"	" Furthermore, he writes, the Philadelphia Phillies forecast a loss for this year that ``roughly equals the forecast increase in general and administrative expenses,'' a rise of 13 percent. </P> "	"nyt_eng_199408.gz"
"3410"	"he"	"writes"	" The effect on attendance of the realignment into three divisions also was ignored, he says. Because of anticipated additional races, he writes, if as few as five teams each were to draw an extra 100,000 fans, revenue would increase by more than $5 million and perhaps as much as $20 million. </P> "	"nyt_eng_199408.gz"
"3412"	"he"	"writes"	" Nevertheless, he writes, ``The collective bargaining negotiations are most assuredly not about the future survival of the national pastime.'' </P> </TEXT> </DOC> <DOC id=NYT_ENG_19940824.0334 type=story > <HEADLINE> STANFORD SUSPENDS 2 PLAYERS FOR 3 GAMES </HEADLINE> <DATELINE>  (BC-FBC-STANFORD-SFCHRON) </DATELINE> <TEXT> "	"nyt_eng_199408.gz"
"3821"	"she"	"writes"	" Her advice is collected in a book, ``How to Help Children Through a Parent's Serious Illness'' (St. Martin's Press, $18.95), written with Ron Bonn, to be published later this month. Probably the most difficult principle for well-meaning parents to follow, but the most central, is to tell children the truth, with the details adjusted to suit their ages. Parents, she writes, should always tell the children three things: that the mother or father is seriously ill, what the name of the disease is, and what the doctors say is likely to happen. </P> "	"nyt_eng_199408.gz"
