"pronoun"	"verb"	"context"	"filename"
"102"	"he"	"wrote"	" In addressing the power of media, he wrote, ``The first impression the public gets is usually the one that is most important.'' </P> "	"nyt_eng_199407.gz"
"237"	"he"	"wrote"	" During the last 14 years, he wrote, testified on nuclear issues and headed the Arms Control Association of the United States, the Washington Council for Non-Proliferation, and the Committee to Save the ABM Treaty. </P> "	"nyt_eng_199407.gz"
"414"	"he"	"wrote"	" In his opening-night review of ``Death of a Salesman'' in The New York Times, Brooks Atkinson called the performances by Mitchell as Happy and Arthur Kennedy as his brother, Biff, ``all youth, brag and bewilderment.'' In a re-review of the play a year into its run, he wrote, ``Mr. Mitchell's easy, boyish but cheap affability could not be improved upon.'' Mitchell also played the role in the 1951 film version. </P> "	"nyt_eng_199407.gz"
"475"	"he"	"wrote"	" Wyngate, who did not respond to efforts to contact him, also wrote that the clothed seminars have ``come to dominate the seminar schedule.'' Requiring clothing at Elysium, he wrote, is ``like taking God out of church.'' </P> "	"nyt_eng_199407.gz"
"525"	"he"	"wrote"	" Regulators, he wrote, will pay extra attention to risks that come to the public's attention and, he noted, ``study after study shows that the public's evaluation of risk problems differs radically from any consensus of experts.'' </P> "	"nyt_eng_199407.gz"
"635"	"he"	"wrote"	" A Dallas reader remained noncommittal but sent a clip of an article from The New York Times, in which Ron Beathard, identified as a ``freelance writer in Harrison, Ohio,'' strongly supported the proposed metric conversion (which, he wrote, would leave ``the remaining foot-and-quart countries, Burma and Liberia, alone in the 19th century'') and expressed disappoinment that momentum for it seems to have waned. </P> "	"nyt_eng_199407.gz"
"1472"	"he"	"wrote"	" All the survivors agreed with a witness, Lt. Pedro Pinto de Almeyda. The loss, he wrote, ``was all due to the bad leadership and lack of experience of Dr. de Morga, for trying to be in charge of something he knew nothing about.'' </P> "	"nyt_eng_199407.gz"
"1473"	"he"	"wrote"	" All the survivors agreed with a witness, Lt. Pedro Pinto de Almeyda. The loss, he wrote, ``was all due to the bad leadership and lack of experience of Dr. de Morga, for trying to be in charge of something he knew nothing about.'' </P> "	"nyt_eng_199407.gz"
"1520"	"he"	"wrote"	" All the survivors agreed with a witness, Lt. Pedro Pinto de Almeyda. The loss, he wrote, ``was all due to the bad leadership and lack of experience of Dr. de Morga, for trying to be in charge of something he knew nothing about.'' </P> "	"nyt_eng_199407.gz"
"1521"	"he"	"wrote"	" All the survivors agreed with a witness, Lt. Pedro Pinto de Almeyda. The loss, he wrote, ``was all due to the bad leadership and lack of experience of Dr. de Morga, for trying to be in charge of something he knew nothing about.'' </P> "	"nyt_eng_199407.gz"
"1604"	"he"	"wrote"	" All the survivors agreed with a witness, Lt. Pedro Pinto de Almeyda. The loss, he wrote, ``was all due to the bad leadership and lack of experience of Dr. de Morga, for trying to be in charge of something he knew nothing about.'' </P> "	"nyt_eng_199407.gz"
"1605"	"he"	"wrote"	" All the survivors agreed with a witness, Lt. Pedro Pinto de Almeyda. The loss, he wrote, ``was all due to the bad leadership and lack of experience of Dr. de Morga, for trying to be in charge of something he knew nothing about.'' </P> "	"nyt_eng_199407.gz"
"1754"	"he"	"wrote"	" All the survivors agreed with a witness, Lt. Pedro Pinto de Almeyda. The loss, he wrote, ``was all due to the bad leadership and lack of experience of Dr. de Morga, for trying to be in charge of something he knew nothing about.'' </P> "	"nyt_eng_199407.gz"
"1755"	"he"	"wrote"	" All the survivors agreed with a witness, Lt. Pedro Pinto de Almeyda. The loss, he wrote, ``was all due to the bad leadership and lack of experience of Dr. de Morga, for trying to be in charge of something he knew nothing about.'' </P> "	"nyt_eng_199407.gz"
"1827"	"he"	"wrote"	" All the survivors agreed with a witness, Lt. Pedro Pinto de Almeyda. The loss, he wrote, ``was all due to the bad leadership and lack of experience of Dr. de Morga, for trying to be in charge of something he knew nothing about.'' </P> "	"nyt_eng_199407.gz"
"1828"	"he"	"wrote"	" All the survivors agreed with a witness, Lt. Pedro Pinto de Almeyda. The loss, he wrote, ``was all due to the bad leadership and lack of experience of Dr. de Morga, for trying to be in charge of something he knew nothing about.'' </P> "	"nyt_eng_199407.gz"
"1946"	"she"	"wrote"	" What disturbed her the most, she wrote, was that talk of ``repressions'' in the Stalinist era had been ``blown out of all proportion in some young people's minds and overwhelms any objective interpretation of the past.'' </P> "	"nyt_eng_199408.gz"
"2137"	"he"	"wrote"	" The six campers (out of 174) who volunteered for the exercise to evaluate the fund materials ranged in age from 10{ to 14, and their reactions to the manual varied. Brian Oppenheim, 10{, said, ``I thought that stocks and bonds were clearly explained.'' When quizzed on the difference between a stock and a bond, he wrote, ``With a bond, the company has to pay you back. With stocks, you don't get paid.'' </P> "	"nyt_eng_199408.gz"
"2204"	"he"	"wrote"	" Among most Londoners, Blackpool is regarded poorly, if it is regarded at all, as a kind of bad joke, a synonym for poor taste. But a few years ago, Matthew Parris, a former Tory Member of Parliament and now a columnist for The Times of London, admitted he had been won over by the sheer energy and fun of the place. The secret of its success, he wrote, was self-evident. </P> "	"nyt_eng_199408.gz"
"2390"	"he"	"wrote"	" The answer, he wrote, must await further studies, as must a broader description of the long-lived warm wave's climatic effects. </P> </TEXT> </DOC> <DOC id=NYT_ENG_19940808.0272 type=story > <HEADLINE> PHYSICISTS PONDER LIFE AFTER THE DEMISE OF THE SUPERCOLLIDER </HEADLINE> <DATELINE> ALBUQUERQUE, N.M.  (BC-PHYSICS-SCI-NYT) </DATELINE> <TEXT> "	"nyt_eng_199408.gz"
"2791"	"he"	"wrote"	" In any case, he wrote, ``this exotic plant has become established and is starting to replace extant vegetation.'' And although data on the rate of its geographic spread are lacking, he wrote, ``the plant is known to be progressing southward quickly, and could soon invade other states.'' </P> "	"nyt_eng_199408.gz"
"3129"	"he"	"wrote"	" In the Grolier Club letter, he wrote, ``I have been a bibliophile since I was capable of opening and admiring a book.'' </P> "	"nyt_eng_199408.gz"
"3298"	"he"	"wrote"	" Dr. Larry J. Strausbaugh of the Veterans Affairs Medical Center in Portland, Ore., wrote in the journal Postgraduate Medicine, ``The diagnosis should be considered in any severely ill patient with fever and hypotension in whom staphylococcal or streptococcal colonization or infection is remotely possible. In addition, he wrote, ``Toxic shock syndrome should be suspected in patients without rash or with rashes other than the classic'' red one. </P> "	"nyt_eng_199408.gz"
