"pronoun"	"verb"	"context"	"filename"
"43066"	"she"	"yells"	" Q. My manager can be very pleasant, but when things are not going the way she wants, she yells, screams, and berates us in front of everyone. She reports to the president of the company, and he does the same thing. What do you suggest? _ T.Y. </P> "	"nyt_eng_199512.gz"
"43195"	"he"	"yells"	" ``He uses language he shouldn't use, he yells, he screams, and he conducts hearings for the purposes of having a circus rather than a search for any kind of facts or information,'' Giuliani said. </P> "	"nyt_eng_199512.gz"
"60976"	"she"	"yells"	" ``Mom acts just like a windup toy,'' says Tougas. ``She reacts: She begs, she yells, she plays airplane. The toddler wonders, `Will it happen again?' Now behavior is purposeful.'' </P> "	"nyt_eng_199605.gz"
"61100"	"she"	"yells"	" ``Mom acts just like a windup toy,'' says Tougas. ``She reacts: She begs, she yells, she plays airplane. The toddler wonders, `Will it happen again?' Now behavior is purposeful.'' </P> "	"nyt_eng_199605.gz"
"69254"	"she"	"yells"	" ``It's always been the same: If she's mad, she yells,'' Harris said. ``What you see with Pam is what you get.'' </P> "	"nyt_eng_199608.gz"
"70206"	"he"	"yells"	" Internally, the merger closed Benham's California-based customer service center and built up the Denver site. Kruse said 73 Kansas City employees and 19 California employees moved to Denver in the merger. Denver's work force of 183 is double what it was before the merger. </P> </TEXT> </DOC> <DOC id=NYT_ENG_19960904.0625 type=other > <DATELINE>  (BC-NYLITE(SMILE)-NYT) </DATELINE> <TEXT> c.1996 N.Y. Times News ServiceNo. 1898 Wed., Sept. 4:  NYLite items can be published if desired; please credit the contributor.)  MUG OF THE WEEK !!!!!!  We will now be awarding a mug every Friday for the best joke, story, anecdote, whatever, of the week. (C'mon, admit it, you're excited!) Send by fax (212-556-3535) or via e-mail:  Dr. NYlite can now be reached by e-mail: nylite(at)nytimes.com (use ``at'' sign sted (at)).  DAVID LETTERMAN LATE SHOW TOP TEN  ``Signs Your Science Teacher is Nuts''  10. He insists that the Earth revolves around actor Charles Durning.  9. Whenever the sun comes out from behind a cloud, he yells, ``Supernova!''  8. He's writing a new chemistry text book with Robert Downey, Jr.  7. Claims he can turn gravity on and off by twisting his ears.  6. He spends every class screaming in an incomprehensible Scottish accent.  5. Demonstrates static electricity by quickly unzipping and zipping his pants.  4. His office is wallpapered with nude photos of Madame Curie.  3. He prefers to mix chemicals by swishing them around in his mouth.  2. For sex education, takes class on field trip to Dick Morris's house.  1. Says the ``c'' in ``E equals mc2 stands for ``carrot.''  BILL'S WORLD  By Bill Tammeus, The Kansas City Star  ``Reckless acts have consequences,'' Mr. Clinton said about Iraq. Hope Dick Morris was listening.  ``Saddam Hussein has made clear his disdain for civilized behavior,'' says Mr. Clinton. Well, so has Albert Belle, but we didn't launch missiles at him.  ``We must be resolute'' in Iraq, Bob Dole says. No doubt. But we should have been more solute in the first place.  Saddam says he's going to teach the West ``an unforgettable lesson.'' Oh, come on. History proves we can forget almost anything.  The no-fly zone in Iraq has been extended. Odd. It wasn't even on ValuJet's schedule.  Another plausible option is that Saddam Hussein still has lots of scary Halloween masks of himself for which he's trying to create a 1996 market.  The NFL season is off to its usual boring start. For every team that won a game, another team lost one.  Polls indicate an Electoral College landslide for Mr. Clinton if the election were today. Of course, if the election were today nearly everyone would miss it, not knowing it was today.  Bob Dole now is willing to say cigarette smoking ``is addictive.'' Maybe next he'll acknowledge that the world is round.  YOU CAN'T MAKE THIS STUFF UP  LONDON _ A 29-year-old British woman lived like a hermit for 14 years in her bedroom, shunning all contact with the outside world other than watching television, a court was told Wednesday.  A coroner's inquest in Croydon, south London, heard that Karen Morgan's muscles had wasted away and she had not walked for years as she kept herself hidden away in her room.  The case came to light in May when the reclusive family called for an ambulance after the woman's younger brother Russell took a drug overdose as part of a suicide pact with his mother and father.  Ambulance drivers were told Karen Morgan's body was laid out in her parents' room and police moved in to investigate what was thought to be a suspicious death.  Detective Robert Harall told the inquest Morgan's parents had agreed to her living at home since 1980 rather than have her sent to a special boarding school because of a psychiatric condition.  ``It was control of the parents by the children. She dominated them with rituals before she would eat, and certain TV programs she wouldn't let them watch,'' Harrall said.  _REUTERS  GOOD DAY, WIRE WANDERERS!!!!!  Offer not available in any store! (Or any other news service!)  Looking for contributors with wit, style, depth, charm and genius with jokes, anecdotes, humorous news items, bonus NYLite offerings, or filler material.  Dr. NYLite will respond with a GENUINE New York Times rolling writer-style pen if your item is used. (But see coffee mug offer above.)  All items fit to fax to 212-556-3535 (24 hours), via uniformed government courier, or, now by e-mail (nylite(at)nytimes.com). </TEXT> </DOC> <DOC id=NYT_ENG_19960904.0626 type=advis > <DATELINE>  (BC-BUDGET-SPOT-SPI) </DATELINE> <TEXT> The Seattle Post-Intelligencer plans to move the following stories for clients of the NYTimes News Service for editions of Thursday, Sept. 5, and thereafter. If you have any questions, please call Tina May, Post-Intelligencer assignment editor, at (206) 448-8355.  U.S.-IRAQ (Washington) _ President Clinton claims success as a result of two missile attacks on Iraq, saying Iraqi defenses have been damaged. However, Sen. Slade Gorton, who was briefed by the Pentagon, said Saddam Hussein actually may have paid only a small price for what amounts to a tactical victory.  By Christopher Hanson. (Story will move in the ``w'' category.)  BBA-MARINERS (Seattle) Mariners host Boston  By Jim Street. (story will move in the ``s'' category)  COLUMN-VECSEY (Seattle) On the amazing Alex Rodriguez.  By Laura Vecsey. (story will move in the ``s'' category) </TEXT> </DOC> <DOC id=NYT_ENG_19960904.0627 type=story > <HEADLINE> KNOCK, KNOCK. WHAT'S THERE? RELIGIOUS SATIRE </HEADLINE> <DATELINE>  (BC-DOOR-RELIGIOUS-SATIRE-KAN) </DATELINE> <TEXT> "	"nyt_eng_199609.gz"
"70208"	"he"	"yells"	" ``Uh-oh,'' Anthony said. ``I think we're in for some more mail.'' </P> </TEXT> </DOC> <DOC id=NYT_ENG_19960904.0628 type=other > <DATELINE>  (BC-NYLITE(SMILE)-NYT) </DATELINE> <TEXT> c.1996 N.Y. Times News ServiceNo. 1898 Wed., Sept. 4:  NYLite items can be published if desired; please credit the contributor.)  MUG OF THE WEEK !!!!!!  We will now be awarding a mug every Friday for the best joke, story, anecdote, whatever, of the week. (C'mon, admit it, you're excited!) Send by fax (212-556-3535) or via e-mail:  Dr. NYlite can now be reached by e-mail: nylite(at)nytimes.com (use ``at'' sign sted (at)).  DAVID LETTERMAN LATE SHOW TOP TEN  ``Signs Your Science Teacher is Nuts''  10. He insists that the Earth revolves around actor Charles Durning.  9. Whenever the sun comes out from behind a cloud, he yells, ``Supernova!''  8. He's writing a new chemistry text book with Robert Downey, Jr.  7. Claims he can turn gravity on and off by twisting his ears.  6. He spends every class screaming in an incomprehensible Scottish accent.  5. Demonstrates static electricity by quickly unzipping and zipping his pants.  4. His office is wallpapered with nude photos of Madame Curie.  3. He prefers to mix chemicals by swishing them around in his mouth.  2. For sex education, takes class on field trip to Dick Morris's house.  1. Says the ``c'' in ``E equals mc2 stands for ``carrot.''  BILL'S WORLD  By Bill Tammeus, The Kansas City Star  ``Reckless acts have consequences,'' Mr. Clinton said about Iraq. Hope Dick Morris was listening.  ``Saddam Hussein has made clear his disdain for civilized behavior,'' says Mr. Clinton. Well, so has Albert Belle, but we didn't launch missiles at him.  ``We must be resolute'' in Iraq, Bob Dole says. No doubt. But we should have been more solute in the first place.  Saddam says he's going to teach the West ``an unforgettable lesson.'' Oh, come on. History proves we can forget almost anything.  The no-fly zone in Iraq has been extended. Odd. It wasn't even on ValuJet's schedule.  Another plausible option is that Saddam Hussein still has lots of scary Halloween masks of himself for which he's trying to create a 1996 market.  The NFL season is off to its usual boring start. For every team that won a game, another team lost one.  Polls indicate an Electoral College landslide for Mr. Clinton if the election were today. Of course, if the election were today nearly everyone would miss it, not knowing it was today.  Bob Dole now is willing to say cigarette smoking ``is addictive.'' Maybe next he'll acknowledge that the world is round.  YOU CAN'T MAKE THIS STUFF UP  LONDON _ A 29-year-old British woman lived like a hermit for 14 years in her bedroom, shunning all contact with the outside world other than watching television, a court was told Wednesday.  A coroner's inquest in Croydon, south London, heard that Karen Morgan's muscles had wasted away and she had not walked for years as she kept herself hidden away in her room.  The case came to light in May when the reclusive family called for an ambulance after the woman's younger brother Russell took a drug overdose as part of a suicide pact with his mother and father.  Ambulance drivers were told Karen Morgan's body was laid out in her parents' room and police moved in to investigate what was thought to be a suspicious death.  Detective Robert Harall told the inquest Morgan's parents had agreed to her living at home since 1980 rather than have her sent to a special boarding school because of a psychiatric condition.  ``It was control of the parents by the children. She dominated them with rituals before she would eat, and certain TV programs she wouldn't let them watch,'' Harrall said.  _REUTERS  GOOD DAY, WIRE WANDERERS!!!!!  Offer not available in any store! (Or any other news service!)  Looking for contributors with wit, style, depth, charm and genius with jokes, anecdotes, humorous news items, bonus NYLite offerings, or filler material.  Dr. NYLite will respond with a GENUINE New York Times rolling writer-style pen if your item is used. (But see coffee mug offer above.)  All items fit to fax to 212-556-3535 (24 hours), via uniformed government courier, or, now by e-mail (nylite(at)nytimes.com). </TEXT> </DOC> <DOC id=NYT_ENG_19960904.0629 type=other > <DATELINE>  (BC-NYLITE(SMILE)-NYT) </DATELINE> <TEXT> c.1996 N.Y. Times News ServiceNo. 1898 Wed., Sept. 4:  NYLite items can be published if desired; please credit the contributor.)  MUG OF THE WEEK !!!!!!  We will now be awarding a mug every Friday for the best joke, story, anecdote, whatever, of the week. (C'mon, admit it, you're excited!) Send by fax (212-556-3535) or via e-mail:  Dr. NYlite can now be reached by e-mail: nylite(at)nytimes.com (use ``at'' sign sted (at)).  DAVID LETTERMAN LATE SHOW TOP TEN  ``Signs Your Science Teacher is Nuts''  10. He insists that the Earth revolves around actor Charles Durning.  9. Whenever the sun comes out from behind a cloud, he yells, ``Supernova!''  8. He's writing a new chemistry text book with Robert Downey, Jr.  7. Claims he can turn gravity on and off by twisting his ears.  6. He spends every class screaming in an incomprehensible Scottish accent.  5. Demonstrates static electricity by quickly unzipping and zipping his pants.  4. His office is wallpapered with nude photos of Madame Curie.  3. He prefers to mix chemicals by swishing them around in his mouth.  2. For sex education, takes class on field trip to Dick Morris's house.  1. Says the ``c'' in ``E equals mc2 stands for ``carrot.''  BILL'S WORLD  By Bill Tammeus, The Kansas City Star  ``Reckless acts have consequences,'' Mr. Clinton said about Iraq. Hope Dick Morris was listening.  ``Saddam Hussein has made clear his disdain for civilized behavior,'' says Mr. Clinton. Well, so has Albert Belle, but we didn't launch missiles at him.  ``We must be resolute'' in Iraq, Bob Dole says. No doubt. But we should have been more solute in the first place.  Saddam says he's going to teach the West ``an unforgettable lesson.'' Oh, come on. History proves we can forget almost anything.  The no-fly zone in Iraq has been extended. Odd. It wasn't even on ValuJet's schedule.  Another plausible option is that Saddam Hussein still has lots of scary Halloween masks of himself for which he's trying to create a 1996 market.  The NFL season is off to its usual boring start. For every team that won a game, another team lost one.  Polls indicate an Electoral College landslide for Mr. Clinton if the election were today. Of course, if the election were today nearly everyone would miss it, not knowing it was today.  Bob Dole now is willing to say cigarette smoking ``is addictive.'' Maybe next he'll acknowledge that the world is round.  YOU CAN'T MAKE THIS STUFF UP  LONDON _ A 29-year-old British woman lived like a hermit for 14 years in her bedroom, shunning all contact with the outside world other than watching television, a court was told Wednesday.  A coroner's inquest in Croydon, south London, heard that Karen Morgan's muscles had wasted away and she had not walked for years as she kept herself hidden away in her room.  The case came to light in May when the reclusive family called for an ambulance after the woman's younger brother Russell took a drug overdose as part of a suicide pact with his mother and father.  Ambulance drivers were told Karen Morgan's body was laid out in her parents' room and police moved in to investigate what was thought to be a suspicious death.  Detective Robert Harall told the inquest Morgan's parents had agreed to her living at home since 1980 rather than have her sent to a special boarding school because of a psychiatric condition.  ``It was control of the parents by the children. She dominated them with rituals before she would eat, and certain TV programs she wouldn't let them watch,'' Harrall said.  _REUTERS  GOOD DAY, WIRE WANDERERS!!!!!  Offer not available in any store! (Or any other news service!)  Looking for contributors with wit, style, depth, charm and genius with jokes, anecdotes, humorous news items, bonus NYLite offerings, or filler material.  Dr. NYLite will respond with a GENUINE New York Times rolling writer-style pen if your item is used. (But see coffee mug offer above.)  All items fit to fax to 212-556-3535 (24 hours), via uniformed government courier, or, now by e-mail (nylite(at)nytimes.com). </TEXT> </DOC> <DOC id=NYT_ENG_19960904.0630 type=story > <HEADLINE> INDIANS' BELLE EXPLAINS ACTIONS LEADING TO SUSPENSION </HEADLINE> <DATELINE>  (BC-BBA-INDIANS-BELLE-NYT) </DATELINE> <TEXT> "	"nyt_eng_199609.gz"
"70209"	"he"	"yells"	" In the absence of direct sightings, two theories have emerged as to how galaxies form: either they grew from small pieces coming together or through the fragmenting collapse of huge gas clouds. The new research suggests the former explanation, but Margon said it was too soon to tell if there is only one way of forming a galaxy. </P> </TEXT> </DOC> <DOC id=NYT_ENG_19960904.0635 type=other > <DATELINE>  (BC-NYLITE(SMILE)-NYT) </DATELINE> <TEXT> c.1996 N.Y. Times News ServiceNo. 1898 Wed., Sept. 4:  NYLite items can be published if desired; please credit the contributor.)  MUG OF THE WEEK !!!!!!  We will now be awarding a mug every Friday for the best joke, story, anecdote, whatever, of the week. (C'mon, admit it, you're excited!) Send by fax (212-556-3535) or via e-mail:  Dr. NYlite can now be reached by e-mail: nylite(at)nytimes.com (use ``at'' sign sted (at)).  DAVID LETTERMAN LATE SHOW TOP TEN  ``Signs Your Science Teacher is Nuts''  10. He insists that the Earth revolves around actor Charles Durning.  9. Whenever the sun comes out from behind a cloud, he yells, ``Supernova!''  8. He's writing a new chemistry text book with Robert Downey, Jr.  7. Claims he can turn gravity on and off by twisting his ears.  6. He spends every class screaming in an incomprehensible Scottish accent.  5. Demonstrates static electricity by quickly unzipping and zipping his pants.  4. His office is wallpapered with nude photos of Madame Curie.  3. He prefers to mix chemicals by swishing them around in his mouth.  2. For sex education, takes class on field trip to Dick Morris's house.  1. Says the ``c'' in ``E equals mc2 stands for ``carrot.''  BILL'S WORLD  By Bill Tammeus, The Kansas City Star  ``Reckless acts have consequences,'' Mr. Clinton said about Iraq. Hope Dick Morris was listening.  ``Saddam Hussein has made clear his disdain for civilized behavior,'' says Mr. Clinton. Well, so has Albert Belle, but we didn't launch missiles at him.  ``We must be resolute'' in Iraq, Bob Dole says. No doubt. But we should have been more solute in the first place.  Saddam says he's going to teach the West ``an unforgettable lesson.'' Oh, come on. History proves we can forget almost anything.  The no-fly zone in Iraq has been extended. Odd. It wasn't even on ValuJet's schedule.  Another plausible option is that Saddam Hussein still has lots of scary Halloween masks of himself for which he's trying to create a 1996 market.  The NFL season is off to its usual boring start. For every team that won a game, another team lost one.  Polls indicate an Electoral College landslide for Mr. Clinton if the election were today. Of course, if the election were today nearly everyone would miss it, not knowing it was today.  Bob Dole now is willing to say cigarette smoking ``is addictive.'' Maybe next he'll acknowledge that the world is round.  YOU CAN'T MAKE THIS STUFF UP  LONDON _ A 29-year-old British woman lived like a hermit for 14 years in her bedroom, shunning all contact with the outside world other than watching television, a court was told Wednesday.  A coroner's inquest in Croydon, south London, heard that Karen Morgan's muscles had wasted away and she had not walked for years as she kept herself hidden away in her room.  The case came to light in May when the reclusive family called for an ambulance after the woman's younger brother Russell took a drug overdose as part of a suicide pact with his mother and father.  Ambulance drivers were told Karen Morgan's body was laid out in her parents' room and police moved in to investigate what was thought to be a suspicious death.  Detective Robert Harall told the inquest Morgan's parents had agreed to her living at home since 1980 rather than have her sent to a special boarding school because of a psychiatric condition.  ``It was control of the parents by the children. She dominated them with rituals before she would eat, and certain TV programs she wouldn't let them watch,'' Harrall said.  _REUTERS  GOOD DAY, WIRE WANDERERS!!!!!  Offer not available in any store! (Or any other news service!)  Looking for contributors with wit, style, depth, charm and genius with jokes, anecdotes, humorous news items, bonus NYLite offerings, or filler material.  Dr. NYLite will respond with a GENUINE New York Times rolling writer-style pen if your item is used. (But see coffee mug offer above.)  All items fit to fax to 212-556-3535 (24 hours), via uniformed government courier, or, now by e-mail (nylite(at)nytimes.com). </TEXT> </DOC> <DOC id=NYT_ENG_19960904.0636 type=story > <HEADLINE> HUBBLE TELESCOPE SHEDS NEW LIGHT ON GALAXIES </HEADLINE> <DATELINE>  (BC-HUBBLE-GALAXIES-BOS) </DATELINE> <TEXT> "	"nyt_eng_199609.gz"
"70212"	"he"	"yells"	" How do you do that? New York stylist Edward Tricomi says to start with wet or geled hair. Pull it into a ponytail. Hold it with an elastic band. Loop it into a knot. Secure it with hairpins. And let go. Let it all go. </P> </TEXT> </DOC> <DOC id=NYT_ENG_19960904.0638 type=other > <DATELINE>  (BC-NYLITE(SMILE)-NYT) </DATELINE> <TEXT> c.1996 N.Y. Times News ServiceNo. 1898 Wed., Sept. 4:  NYLite items can be published if desired; please credit the contributor.)  MUG OF THE WEEK !!!!!!  We will now be awarding a mug every Friday for the best joke, story, anecdote, whatever, of the week. (C'mon, admit it, you're excited!) Send by fax (212-556-3535) or via e-mail:  Dr. NYlite can now be reached by e-mail: nylite(at)nytimes.com (use ``at'' sign sted (at)).  DAVID LETTERMAN LATE SHOW TOP TEN  ``Signs Your Science Teacher is Nuts''  10. He insists that the Earth revolves around actor Charles Durning.  9. Whenever the sun comes out from behind a cloud, he yells, ``Supernova!''  8. He's writing a new chemistry text book with Robert Downey, Jr.  7. Claims he can turn gravity on and off by twisting his ears.  6. He spends every class screaming in an incomprehensible Scottish accent.  5. Demonstrates static electricity by quickly unzipping and zipping his pants.  4. His office is wallpapered with nude photos of Madame Curie.  3. He prefers to mix chemicals by swishing them around in his mouth.  2. For sex education, takes class on field trip to Dick Morris's house.  1. Says the ``c'' in ``E equals mc2 stands for ``carrot.''  BILL'S WORLD  By Bill Tammeus, The Kansas City Star  ``Reckless acts have consequences,'' Mr. Clinton said about Iraq. Hope Dick Morris was listening.  ``Saddam Hussein has made clear his disdain for civilized behavior,'' says Mr. Clinton. Well, so has Albert Belle, but we didn't launch missiles at him.  ``We must be resolute'' in Iraq, Bob Dole says. No doubt. But we should have been more solute in the first place.  Saddam says he's going to teach the West ``an unforgettable lesson.'' Oh, come on. History proves we can forget almost anything.  The no-fly zone in Iraq has been extended. Odd. It wasn't even on ValuJet's schedule.  Another plausible option is that Saddam Hussein still has lots of scary Halloween masks of himself for which he's trying to create a 1996 market.  The NFL season is off to its usual boring start. For every team that won a game, another team lost one.  Polls indicate an Electoral College landslide for Mr. Clinton if the election were today. Of course, if the election were today nearly everyone would miss it, not knowing it was today.  Bob Dole now is willing to say cigarette smoking ``is addictive.'' Maybe next he'll acknowledge that the world is round.  YOU CAN'T MAKE THIS STUFF UP  LONDON _ A 29-year-old British woman lived like a hermit for 14 years in her bedroom, shunning all contact with the outside world other than watching television, a court was told Wednesday.  A coroner's inquest in Croydon, south London, heard that Karen Morgan's muscles had wasted away and she had not walked for years as she kept herself hidden away in her room.  The case came to light in May when the reclusive family called for an ambulance after the woman's younger brother Russell took a drug overdose as part of a suicide pact with his mother and father.  Ambulance drivers were told Karen Morgan's body was laid out in her parents' room and police moved in to investigate what was thought to be a suspicious death.  Detective Robert Harall told the inquest Morgan's parents had agreed to her living at home since 1980 rather than have her sent to a special boarding school because of a psychiatric condition.  ``It was control of the parents by the children. She dominated them with rituals before she would eat, and certain TV programs she wouldn't let them watch,'' Harrall said.  _REUTERS  GOOD DAY, WIRE WANDERERS!!!!!  Offer not available in any store! (Or any other news service!)  Looking for contributors with wit, style, depth, charm and genius with jokes, anecdotes, humorous news items, bonus NYLite offerings, or filler material.  Dr. NYLite will respond with a GENUINE New York Times rolling writer-style pen if your item is used. (But see coffee mug offer above.)  All items fit to fax to 212-556-3535 (24 hours), via uniformed government courier, or, now by e-mail (nylite(at)nytimes.com). </TEXT> </DOC> <DOC id=NYT_ENG_19960904.0639 type=story > <HEADLINE> FROM A BUNCH OF DUSTY BOXES, A LIFE EMERGES </HEADLINE> <DATELINE>  (BC-MURPHY-COLUMN-KAN) </DATELINE> <TEXT> "	"nyt_eng_199609.gz"
"70217"	"he"	"yells"	" ``Nothing has happened that indicates any pricing pressure beyond what they expected,'' Duggan said. </P> </TEXT> </DOC> <DOC id=NYT_ENG_19960904.0649 type=other > <DATELINE>  (BC-NYLITE(SMILE)-NYT) </DATELINE> <TEXT> c.1996 N.Y. Times News ServiceNo. 1898 Wed., Sept. 4:  NYLite items can be published if desired; please credit the contributor.)  MUG OF THE WEEK !!!!!!  We will now be awarding a mug every Friday for the best joke, story, anecdote, whatever, of the week. (C'mon, admit it, you're excited!) Send by fax (212-556-3535) or via e-mail:  Dr. NYlite can now be reached by e-mail: nylite(at)nytimes.com (use ``at'' sign sted (at)).  DAVID LETTERMAN LATE SHOW TOP TEN  ``Signs Your Science Teacher is Nuts''  10. He insists that the Earth revolves around actor Charles Durning.  9. Whenever the sun comes out from behind a cloud, he yells, ``Supernova!''  8. He's writing a new chemistry text book with Robert Downey, Jr.  7. Claims he can turn gravity on and off by twisting his ears.  6. He spends every class screaming in an incomprehensible Scottish accent.  5. Demonstrates static electricity by quickly unzipping and zipping his pants.  4. His office is wallpapered with nude photos of Madame Curie.  3. He prefers to mix chemicals by swishing them around in his mouth.  2. For sex education, takes class on field trip to Dick Morris's house.  1. Says the ``c'' in ``E equals mc2 stands for ``carrot.''  BILL'S WORLD  By Bill Tammeus, The Kansas City Star  ``Reckless acts have consequences,'' Mr. Clinton said about Iraq. Hope Dick Morris was listening.  ``Saddam Hussein has made clear his disdain for civilized behavior,'' says Mr. Clinton. Well, so has Albert Belle, but we didn't launch missiles at him.  ``We must be resolute'' in Iraq, Bob Dole says. No doubt. But we should have been more solute in the first place.  Saddam says he's going to teach the West ``an unforgettable lesson.'' Oh, come on. History proves we can forget almost anything.  The no-fly zone in Iraq has been extended. Odd. It wasn't even on ValuJet's schedule.  Another plausible option is that Saddam Hussein still has lots of scary Halloween masks of himself for which he's trying to create a 1996 market.  The NFL season is off to its usual boring start. For every team that won a game, another team lost one.  Polls indicate an Electoral College landslide for Mr. Clinton if the election were today. Of course, if the election were today nearly everyone would miss it, not knowing it was today.  Bob Dole now is willing to say cigarette smoking ``is addictive.'' Maybe next he'll acknowledge that the world is round.  YOU CAN'T MAKE THIS STUFF UP  LONDON _ A 29-year-old British woman lived like a hermit for 14 years in her bedroom, shunning all contact with the outside world other than watching television, a court was told Wednesday.  A coroner's inquest in Croydon, south London, heard that Karen Morgan's muscles had wasted away and she had not walked for years as she kept herself hidden away in her room.  The case came to light in May when the reclusive family called for an ambulance after the woman's younger brother Russell took a drug overdose as part of a suicide pact with his mother and father.  Ambulance drivers were told Karen Morgan's body was laid out in her parents' room and police moved in to investigate what was thought to be a suspicious death.  Detective Robert Harall told the inquest Morgan's parents had agreed to her living at home since 1980 rather than have her sent to a special boarding school because of a psychiatric condition.  ``It was control of the parents by the children. She dominated them with rituals before she would eat, and certain TV programs she wouldn't let them watch,'' Harrall said.  _REUTERS  GOOD DAY, WIRE WANDERERS!!!!!  Offer not available in any store! (Or any other news service!)  Looking for contributors with wit, style, depth, charm and genius with jokes, anecdotes, humorous news items, bonus NYLite offerings, or filler material.  Dr. NYLite will respond with a GENUINE New York Times rolling writer-style pen if your item is used. (But see coffee mug offer above.)  All items fit to fax to 212-556-3535 (24 hours), via uniformed government courier, or, now by e-mail (nylite(at)nytimes.com). </TEXT> </DOC> <DOC id=NYT_ENG_19960904.0650 type=story > <HEADLINE> COLOMBIAN STOCKS RISE WITH BANCO DE COLOMBIA SHARES (UPDATE1) </HEADLINE> <DATELINE> Bogota, Sept. 4 (Bloomberg) (BC-COLOMBIA-STOCKS-CLOSE-UPDATE1-BLOOM) </DATELINE> <TEXT> "	"nyt_eng_199609.gz"
